,lang,family,dialects,iso3code,glottocode,speakers,regions,off_lang,rec_min_lang,url
0,Wantoat,"Trans–New Guinea, Finisterre–Huon, Finisterre, Wantoat languages, Wantoat","Trans–New Guinea, Finisterre–Huon, Finisterre, Wantoat languages, Wantoat",wnc,want1252,Uknown,Morobe Province,Unknown,Unknown,https://en.wikipedia.org/wiki/Taap_language
1,Yamuna_in_Hinduism,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Yamuna_in_Hinduism
2,Judeo-tamazight,"Afro-Asiatic, tamazight, Northern tamazight, Atlas, Shilha, Judeo-tamazight","Afro-Asiatic, tamazight, Northern tamazight, Atlas, Shilha, Judeo-tamazight",jbe,(insufficiently attested or not a distinct language)titlejude1262,"none[1]L2 speakers: 3,000 ",Israel,Unknown,Unknown,https://en.wikipedia.org/wiki/Judeo-Berber_language
3,Uhunduni,"Trans–New Guinea, West Papuan Highlands,  (Irian Highlands), Amung–Dem, Uhunduni","Trans–New Guinea, West Papuan Highlands,  (Irian Highlands), Amung–Dem, Uhunduni",uhn,dama1272,"14,000 ","Central Papua: central highlands, Paniai Regency, Beoga and Ilaga sub-districts; Asmat, Deiya, Mimika, and Puncak regencies, north and south Puncak Jaya; possibly Lanny Jaya and Nduga regencies.",Unknown,Unknown,https://en.wikipedia.org/wiki/Uhunduni_language
4,Chulym,"Turkic, Common Turkic, Siberian Turkic, South Siberian, Chulym","Turkic, Common Turkic, Siberian Turkic, South Siberian, Chulym",clw,chul1246,44 ,"Tyukhtetsky District, Teguldetsky District, Krasnoyarsk Krai, Tomsk Oblast",Unknown,Unknown,https://en.wikipedia.org/wiki/Chulym_language
5,Wounaan,"Chocoan, Wounaan","Chocoan, Wounaan",noa,woun1238,"10,800 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Waunana_language
6,Kayupulau,"Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Sarmi – Jayapura Bay, Jayapura Bay, Kayupulau","Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Sarmi – Jayapura Bay, Jayapura Bay, Kayupulau",kzu,kayu1243,50 ,Papua,Unknown,Unknown,https://en.wikipedia.org/wiki/Kayupulau_language
7,Ruga,"Sino-Tibetan, Tibeto-Burman, Sal, Bodo–Garo, Koch, Ruga","Sino-Tibetan, Tibeto-Burman, Sal, Bodo–Garo, Koch, Ruga",ruh,ruga1238,10 ,,Unknown,Unknown,https://en.wikipedia.org/wiki/Ruga_language
8,Mzieme,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman languages,  Kuki-Chin-Naga, Zemeic, Mzieme","Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman languages,  Kuki-Chin-Naga, Zemeic, Mzieme",nme,mzie1235,Uknown,Nagaland,Unknown,Unknown,https://en.wikipedia.org/wiki/Mzieme_language
9,Atta,"Austronesian, Malayo-Polynesian, Philippine, Northern Luzon, Cagayan Valley, Ibanagic, Atta","Austronesian, Malayo-Polynesian, Philippine, Northern Luzon, Cagayan Valley, Ibanagic, Atta",Variously:titleazttitle – Faire Attatitleatttitle – Pamplona Attatitleatptitle – Pudtol Attatitledygtitle – Villa Viciosa Agtatitle†title (?),atta1244,Uknown,Luzon,Unknown,Unknown,https://en.wikipedia.org/wiki/Atta_language
10,Mwesen,"Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Torres-Banks, Mwesen","Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Torres-Banks, Mwesen",msntitle  (shared with titleVurestitle),vure1239title  Vures,10 ,Vanua Lava,Unknown,Unknown,https://en.wikipedia.org/wiki/Mwesen_language
11,Huichol,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Huichol
12,Besoa,Uknown,Uknown,Not provided,,Uknown,Haute Matsiatra,Unknown,Unknown,https://en.wikipedia.org/wiki/Besoa
13,Maidu,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Maidu
14,Northern_Tutchone,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Northern_Tutchone
15,Isirawa,"Foja Range, Kwerbic, Isirawa","Foja Range, Kwerbic, Isirawa",srl,isir1237,"1,800 ",Papua,Unknown,Unknown,https://en.wikipedia.org/wiki/Isirawa_language
16,Garhwali,"Indo-European, Indo-Iranian, Indo-Aryan, Northern, Central Pahari, Garhwali","Indo-European, Indo-Iranian, Indo-Aryan, Northern, Central Pahari, Garhwali",gbm,garh1243,2.5 million ,"Garhwal, Uttarakhand",Unknown,Unknown,https://en.wikipedia.org/wiki/Garhwali_language
17,Maring,"Trans–New Guinea, Chimbu–Wahgi, Jimi, Maring","Trans–New Guinea, Chimbu–Wahgi, Jimi, Maring",mbw,mari1435,Uknown,Madang Province and Western Highlands Province,Unknown,Unknown,https://en.wikipedia.org/wiki/Maring_language
18,Chiapas Zoque,"Mixe-Zoquean, Zoquean, Chiapas Zoque","Mixe-Zoquean, Zoquean, Chiapas Zoque",Variously:titlezoctitle – Copainalá Zoquetitlezostitle – Francisco León Zoquetitlezortitle – Rayón Zoque,chia1261,Uknown,Chiapas,Unknown,Unknown,https://en.wikipedia.org/wiki/Chiapas_Zoque
19,Terêna,"Arawakan, Southern, Bolivia–Parana, Terêna","Arawakan, Southern, Bolivia–Parana, Terêna",Variously:titletertitle – Terenatitlegqntitle – titleKinikinaotitle & titleGuanátitlecajtitle – titleChané,tere1279,"16,000 ",Mato Grosso do Sul,Unknown,Unknown,https://en.wikipedia.org/wiki/Kinikinau_language
20,Toda,"Dravidian, Southern, Tamil–Kannada, Tamil–Kodagu, Toda–Kota, Toda","Dravidian, Southern, Tamil–Kannada, Tamil–Kodagu, Toda–Kota, Toda",tcx,toda1252,"1,600 ",Nilgiri Hills,Unknown,Unknown,https://en.wikipedia.org/wiki/Toda_language
21,Emplawas,"Austronesian, Malayo-Polynesian,  (MP), (, Central–Eastern MP, ), Babar, South Babar, Southwest Babar, Emplawas","Austronesian, Malayo-Polynesian,  (MP), (, Central–Eastern MP, ), Babar, South Babar, Southwest Babar, Emplawas",emw,empl1237,250 ,Maluku,Unknown,Unknown,https://en.wikipedia.org/wiki/Emplawas_language
22,Soyaltepec Mazatec,"Oto-Manguean, Popolocan, Mazatecan, Lowland, Valley, Northern, Soyaltepec Mazatec","Oto-Manguean, Popolocan, Mazatecan, Lowland, Valley, Northern, Soyaltepec Mazatec",vmp,soya1237,"28,000 ",San Felipe Jalapa de Díaz,Unknown,Unknown,https://en.wikipedia.org/wiki/Soyaltepec_Mazatec_language
23,Canela,"Macro-Jê, Jê, Cerrado, Jê of Goyaz, Northern Jê, Timbira, Canela-Krahô, Canela","Macro-Jê, Jê, Cerrado, Jê of Goyaz, Northern Jê, Timbira, Canela-Krahô, Canela",ram,cane1242title  Canela-Krahô,"2,500 ",Maranhão,Unknown,Unknown,https://en.wikipedia.org/wiki/Kanela_language
24,Shumashti,"Indo-European, Indo-Iranian, Indo-Aryan, Dardic, Kunar, Shumashti","Indo-European, Indo-Iranian, Indo-Aryan, Dardic, Kunar, Shumashti",sts,shum1235,Uknown,Kunar Province,Unknown,Unknown,https://en.wikipedia.org/wiki/Shumashti_language
