,iso6393,glottocode,aes_status
0,aaa,ghot1243,not endangered
1,aab,alum1246,not endangered
2,aac,arii1243,moribund
3,aad,amal1242,shifting
4,aae,arbe1236,threatened
5,aaf,aran1261,shifting
6,aag,ambr1239,threatened
7,aah,abua1245,shifting
8,aai,arif1239,shifting
9,aak,anka1246,not endangered
10,aal,afad1236,threatened
11,aan,anam1249,extinct
12,aao,alge1240,not endangered
13,aap,para1310,threatened
14,aaq,east2544,extinct
15,aar,afar1241,not endangered
16,aas,aasa1238,extinct
17,aat,arva1236,threatened
18,aau,abau1245,shifting
19,aaw,solo1258,not endangered
20,aax,mand1444,threatened
21,aaz,amar1273,threatened
22,aba,abee1242,not endangered
23,abb,bank1256,threatened
24,abc,amba1267,threatened
25,abd,cama1250,threatened
26,abe,west2630,nearly extinct
27,abf,abai1240,shifting
28,abg,abag1245,nearly extinct
29,abh,taji1248,shifting
30,abi,abid1235,not endangered
31,abj,akab1249,extinct
32,abk,abkh1244,threatened
33,abl,lamp1242,not endangered
34,abm,aban1242,not endangered
35,abn,abua1244,not endangered
36,abo,abon1238,threatened
37,abp,aben1249,shifting
38,abq,abaz1241,threatened
39,abr,abro1238,not endangered
40,abs,ambo1250,not endangered
41,abt,ambu1247,threatened
42,abu,abur1243,not endangered
43,abv,baha1259,not endangered
44,abw,pall1244,not endangered
45,abx,inab1237,not endangered
46,aby,anem1248,not endangered
47,abz,abui1241,shifting
48,aca,acha1250,shifting
49,acb,anca1236,not endangered
50,acd,giky1238,not endangered
51,ace,achi1257,threatened
52,acf,sain1246,not endangered
53,ach,acol1236,not endangered
54,aci,akac1240,extinct
55,ack,akak1251,extinct
56,acl,akar1243,extinct
57,acm,meso1252,not endangered
58,acn,acha1249,shifting
59,acp,east2403,not endangered
60,acq,taiz1242,not endangered
61,acr,achi1256,threatened
62,acs,acro1239,extinct
63,act,acht1238,threatened
64,acu,achu1248,shifting
65,acv,achu1247,nearly extinct
66,acw,hija1235,not endangered
67,acx,oman1239,not endangered
68,acy,cypr1248,shifting
69,acz,ache1245,threatened
70,ada,adan1247,not endangered
71,adb,adab1235,not endangered
72,add,dzod1238,not endangered
73,ade,adel1244,not endangered
74,adf,dhof1235,not endangered
75,adg,ande1247,extinct
76,adh,adho1243,not endangered
77,adi,bori1243,not endangered
78,adj,adio1239,not endangered
79,adl,galo1242,threatened
80,adn,adan1251,shifting
81,ado,abuu1241,shifting
82,adq,adan1248,threatened
83,adr,adon1237,not endangered
84,ads,adam1238,shifting
85,adt,adny1235,shifting
86,adu,adug1238,threatened
87,adw,amun1246,threatened
88,adx,amdo1237,not endangered
89,ady,adyg1241,threatened
90,adz,adze1240,threatened
91,aea,areb1238,extinct
92,aeb,tuni1259,not endangered
93,aec,said1239,not endangered
94,aed,arge1236,not endangered
95,aee,nort2666,threatened
96,aek,haek1239,moribund
97,ael,ambe1247,threatened
98,aem,arem1240,nearly extinct
99,aen,arme1259,not endangered
100,aeq,aerr1238,shifting
101,aer,east2379,shifting
102,aes,alse1251,extinct
103,aeu,akeu1235,shifting
104,aew,amba1269,shifting
105,aey,amel1241,threatened
106,aez,aeka1244,not endangered
107,afb,gulf1241,not endangered
