iso6393,glottocode,aes_status,Wikipedia_Url
aaa,ghot1243,not endangered,https://en.wikipedia.org/wiki/Ghotuo_language
aab,alum1246,not endangered,https://en.wikipedia.org/wiki/Alumu_language
aac,arii1243,moribund,https://en.wikipedia.org/wiki/Ari_language_(New_Guinea)
aad,amal1242,shifting,https://en.wikipedia.org/wiki/Amal_language
aae,arbe1236,threatened,https://en.wikipedia.org/wiki/Arb%C3%ABresh_language
aaf,aran1261,shifting,https://en.wikipedia.org/wiki/Eranadan_language
aag,ambr1239,threatened,https://en.wikipedia.org/wiki/Ambrak_language
aah,abua1245,shifting,https://en.wikipedia.org/wiki/Abu%CA%BC_Arapesh_language
aai,arif1239,shifting,https://en.wikipedia.org/wiki/Arifama-Miniafia_language
aak,anka1246,not endangered,https://en.wikipedia.org/wiki/Ankave_language
aal,afad1236,threatened,https://en.wikipedia.org/wiki/Afade_language
aan,anam1249,extinct,https://en.wikipedia.org/wiki/Anamb%C3%A9_language
aao,alge1240,not endangered,https://en.wikipedia.org/wiki/Algerian_Saharan_Arabic
aap,para1310,threatened,https://en.wikipedia.org/wiki/Par%C3%A1_Ar%C3%A1ra_language
aaq,east2544,extinct,
aar,afar1241,not endangered,https://en.wikipedia.org/wiki/Afar_language
aas,aasa1238,extinct,https://en.wikipedia.org/wiki/Asa_language
aat,arva1236,threatened,https://en.wikipedia.org/wiki/Arvanitika
aau,abau1245,shifting,https://en.wikipedia.org/wiki/Abau_language
aaw,solo1258,not endangered,https://en.wikipedia.org/wiki/Solong_language
aax,mand1444,threatened,
aaz,amar1273,threatened,https://en.wikipedia.org/wiki/Amarasi_language
aba,abee1242,not endangered,https://en.wikipedia.org/wiki/Ab%C3%A9_language
abb,bank1256,threatened,https://en.wikipedia.org/wiki/Bankon_language
abc,amba1267,threatened,https://en.wikipedia.org/wiki/Ambala_language
abd,cama1250,threatened,https://en.wikipedia.org/wiki/Manide_language
abe,west2630,nearly extinct,
abf,abai1240,shifting,https://en.wikipedia.org/wiki/Sungai_language
abg,abag1245,nearly extinct,https://en.wikipedia.org/wiki/Abaga_language
abh,taji1248,shifting,https://en.wikipedia.org/wiki/Tajiki_Arabic
abi,abid1235,not endangered,https://en.wikipedia.org/wiki/Abidji_language
abj,akab1249,extinct,https://en.wikipedia.org/wiki/Aka-Bea_language
abk,abkh1244,threatened,https://en.wikipedia.org/wiki/Abkhaz_language
abl,lamp1242,not endangered,
abm,aban1242,not endangered,https://en.wikipedia.org/wiki/Abanyom_language
abn,abua1244,not endangered,https://en.wikipedia.org/wiki/Abua_language
abo,abon1238,threatened,https://en.wikipedia.org/wiki/Abon_language
abp,aben1249,shifting,https://en.wikipedia.org/wiki/Abellen_language
abq,abaz1241,threatened,https://en.wikipedia.org/wiki/Abaza_language
abr,abro1238,not endangered,https://en.wikipedia.org/wiki/Bono_dialect
abs,ambo1250,not endangered,https://en.wikipedia.org/wiki/Ambonese_Malay
abt,ambu1247,threatened,https://en.wikipedia.org/wiki/Abelam_language
abu,abur1243,not endangered,https://en.wikipedia.org/wiki/Abure_language
abv,baha1259,not endangered,https://en.wikipedia.org/wiki/Bahrani_Arabic
abw,pall1244,not endangered,https://en.wikipedia.org/wiki/Pal_language
abx,inab1237,not endangered,https://en.wikipedia.org/wiki/Abaknon_language
aby,anem1248,not endangered,https://en.wikipedia.org/wiki/Aneme_Wake_language
abz,abui1241,shifting,https://en.wikipedia.org/wiki/Abui_language
aca,acha1250,shifting,https://en.wikipedia.org/wiki/Achawa_language
acb,anca1236,not endangered,
acd,giky1238,not endangered,https://en.wikipedia.org/wiki/Kyode_language
ace,achi1257,threatened,https://en.wikipedia.org/wiki/Acehnese_language
acf,sain1246,not endangered,https://en.wikipedia.org/wiki/Saint_Lucian_Creole
ach,acol1236,not endangered,https://en.wikipedia.org/wiki/Acholi_dialect
aci,akac1240,extinct,https://en.wikipedia.org/wiki/Aka-Cari_language
ack,akak1251,extinct,https://en.wikipedia.org/wiki/Aka-Kora_language
acl,akar1243,extinct,https://en.wikipedia.org/wiki/Akar-Bale_language
acm,meso1252,not endangered,https://en.wikipedia.org/wiki/Mesopotamian_Arabic
acn,acha1249,shifting,https://en.wikipedia.org/wiki/Achang_language
acp,east2403,not endangered,https://en.wikipedia.org/wiki/Eastern_Acipa_language
acq,taiz1242,not endangered,https://en.wikipedia.org/wiki/Ta%CA%BDizzi-Adeni_Arabic
acr,achi1256,threatened,https://en.wikipedia.org/wiki/Achi_language
acs,acro1239,extinct,https://en.wikipedia.org/wiki/Acro%C3%A1_language
act,acht1238,threatened,https://en.wikipedia.org/wiki/Achterhooks
acu,achu1248,shifting,https://en.wikipedia.org/wiki/Shiwiar_language
acv,achu1247,nearly extinct,https://en.wikipedia.org/wiki/Achumawi_language
acw,hija1235,not endangered,https://en.wikipedia.org/wiki/Hejazi_Arabic
acx,oman1239,not endangered,https://en.wikipedia.org/wiki/Omani_Arabic
acy,cypr1248,shifting,https://en.wikipedia.org/wiki/Cypriot_Arabic
acz,ache1245,threatened,https://en.wikipedia.org/wiki/Acheron_language
ada,adan1247,not endangered,https://en.wikipedia.org/wiki/Dangme_language
adb,adab1235,not endangered,https://en.wikipedia.org/wiki/Adabe_language
add,dzod1238,not endangered,https://en.wikipedia.org/wiki/Dzodinka_language
ade,adel1244,not endangered,https://en.wikipedia.org/wiki/Adele_language
adf,dhof1235,not endangered,https://en.wikipedia.org/wiki/Dhofari_Arabic
adg,ande1247,extinct,https://en.wikipedia.org/wiki/Andegerebinha_dialect
adh,adho1243,not endangered,https://en.wikipedia.org/wiki/Adhola_dialect
adi,bori1243,not endangered,https://en.wikipedia.org/wiki/Adi_languages
adj,adio1239,not endangered,https://en.wikipedia.org/wiki/Adjukru_language
adl,galo1242,threatened,https://en.wikipedia.org/wiki/Gallong_language
adn,adan1251,shifting,https://en.wikipedia.org/wiki/Adang_language
ado,abuu1241,shifting,https://en.wikipedia.org/wiki/Adjora_language
adq,adan1248,threatened,https://en.wikipedia.org/wiki/Agotime_language
adr,adon1237,not endangered,https://en.wikipedia.org/wiki/Adonara_language
ads,adam1238,shifting,https://en.wikipedia.org/wiki/Adamorobe_Sign_Language
adt,adny1235,shifting,https://en.wikipedia.org/wiki/Adnyamathanha_language
adu,adug1238,threatened,https://en.wikipedia.org/wiki/Aduge_language
adw,amun1246,threatened,
adx,amdo1237,not endangered,https://en.wikipedia.org/wiki/Amdo_Tibetan
ady,adyg1241,threatened,https://en.wikipedia.org/wiki/Adyghe_language
adz,adze1240,threatened,https://en.wikipedia.org/wiki/Adzera_language
aea,areb1238,extinct,
aeb,tuni1259,not endangered,https://en.wikipedia.org/wiki/Tunisian_Arabic
aec,said1239,not endangered,https://en.wikipedia.org/wiki/Sa%CA%BDidi_Arabic
aed,arge1236,not endangered,https://en.wikipedia.org/wiki/Argentine_Sign_Language
aee,nort2666,threatened,
aek,haek1239,moribund,https://en.wikipedia.org/wiki/Haeke_language
ael,ambe1247,threatened,https://en.wikipedia.org/wiki/Ambele_language
aem,arem1240,nearly extinct,https://en.wikipedia.org/wiki/Arem_language
aen,arme1259,not endangered,https://en.wikipedia.org/wiki/Armenian_Sign_Language
aeq,aerr1238,shifting,https://en.wikipedia.org/wiki/Aer_language
aer,east2379,shifting,
aes,alse1251,extinct,https://en.wikipedia.org/wiki/Alsea_language
aeu,akeu1235,shifting,https://en.wikipedia.org/wiki/Akeu_language
aew,amba1269,shifting,https://en.wikipedia.org/wiki/Ambakich_language
aey,amel1241,threatened,https://en.wikipedia.org/wiki/Amele_language
aez,aeka1244,not endangered,
afb,gulf1241,not endangered,https://en.wikipedia.org/wiki/Gulf_Arabic
afd,anda1283,shifting,https://en.wikipedia.org/wiki/Andai_language
afe,putu1241,not endangered,https://en.wikipedia.org/wiki/Putukwam_language
afg,afgh1239,not endangered,https://en.wikipedia.org/wiki/Afghan_Sign_Language
afi,akru1241,moribund,https://en.wikipedia.org/wiki/Akrukay_language
afk,nanu1240,shifting,https://en.wikipedia.org/wiki/Nanubae_language
afn,defa1248,moribund,https://en.wikipedia.org/wiki/Defaka_language
afo,eloy1241,threatened,https://en.wikipedia.org/wiki/Eloyi_language
afp,tape1242,shifting,https://en.wikipedia.org/wiki/Tapei_language
afr,afri1274,not endangered,https://en.wikipedia.org/wiki/Afrikaans
afs,afro1254,moribund,https://en.wikipedia.org/wiki/Afro-Seminole_Creole
aft,afit1238,shifting,https://en.wikipedia.org/wiki/Afitti_language
afu,awut1241,shifting,https://en.wikipedia.org/wiki/Efutu_language
afz,obok1239,shifting,https://en.wikipedia.org/wiki/Obokuitai_language
aga,agua1251,extinct,https://en.wikipedia.org/wiki/Aguano_language
agb,legb1242,not endangered,https://en.wikipedia.org/wiki/Gbo_language
agc,agat1236,not endangered,https://en.wikipedia.org/wiki/Agatu_language
agd,agar1252,not endangered,https://en.wikipedia.org/wiki/Agarabi_language
age,anga1293,not endangered,
agf,argu1237,shifting,https://en.wikipedia.org/wiki/Arguni_language
agg,ango1254,shifting,https://en.wikipedia.org/wiki/Angor_language
agh,ngel1238,not endangered,https://en.wikipedia.org/wiki/Ngelima_language
agi,agar1251,not endangered,https://en.wikipedia.org/wiki/Agariya_language
agj,argo1244,threatened,https://en.wikipedia.org/wiki/Argobba_language
agk,isar1235,nearly extinct,https://en.wikipedia.org/wiki/Inagta_Partido_language
agl,femb1238,shifting,https://en.wikipedia.org/wiki/Fembe_language
agm,anga1290,not endangered,https://en.wikipedia.org/wiki/Angaataha_language
agn,agut1237,not endangered,https://en.wikipedia.org/wiki/Agutaynen_language
ago,tain1253,not endangered,https://en.wikipedia.org/wiki/Tainae_language
agq,aghe1239,not endangered,https://en.wikipedia.org/wiki/Aghem_language
agr,agua1253,threatened,https://en.wikipedia.org/wiki/Aguaruna_language
ags,esim1238,not endangered,https://en.wikipedia.org/wiki/Esimbi_language
agt,cent2084,shifting,https://en.wikipedia.org/wiki/Central_Cagayan_Agta_language
agu,agua1252,threatened,https://en.wikipedia.org/wiki/Awakatek_language
agv,remo1247,moribund,https://en.wikipedia.org/wiki/Remontado_Agta_language
agw,kahu1241,not endangered,https://en.wikipedia.org/wiki/Kahua_language
agx,aghu1253,shifting,https://en.wikipedia.org/wiki/Aghul_language
agy,sout2905,moribund,https://en.wikipedia.org/wiki/Southern_Alta_language
agz,mtir1235,threatened,https://en.wikipedia.org/wiki/Mount_Iriga_Agta_language
aha,ahan1243,not endangered,https://en.wikipedia.org/wiki/Ahanta_language
ahb,axam1237,shifting,https://en.wikipedia.org/wiki/Axamb_language
ahg,qima1242,moribund,https://en.wikipedia.org/wiki/Qimant_language
ahh,aghu1255,threatened,https://en.wikipedia.org/wiki/Aghu_language
ahi,tiag1235,not endangered,https://en.wikipedia.org/wiki/Tiagba_language
ahk,akha1245,not endangered,https://en.wikipedia.org/wiki/Akha_language
ahl,igoo1238,shifting,https://en.wikipedia.org/wiki/Ahlon_language
ahm,mobu1235,shifting,https://en.wikipedia.org/wiki/Mobu_language
ahn,ahan1244,shifting,https://en.wikipedia.org/wiki/Ahan_language
aho,ahom1240,extinct,https://en.wikipedia.org/wiki/Ahom_language
ahp,apro1235,shifting,https://en.wikipedia.org/wiki/Apro_language
ahr,ahir1243,not endangered,
ahs,ashe1269,not endangered,https://en.wikipedia.org/wiki/Koro_Wachi_language
aht,ahte1237,nearly extinct,https://en.wikipedia.org/wiki/Ahtna_language
aia,aros1241,not endangered,https://en.wikipedia.org/wiki/Arosi_language
aib,ainu1251,shifting,https://en.wikipedia.org/wiki/%C3%84ynu_language
aic,ainb1238,shifting,https://en.wikipedia.org/wiki/Ainbai_language
aid,alng1239,extinct,https://en.wikipedia.org/wiki/Alngith_dialect
aie,amar1272,shifting,https://en.wikipedia.org/wiki/Amara_language
aif,agii1245,shifting,https://en.wikipedia.org/wiki/Agi_language
aig,anti1245,not endangered,https://en.wikipedia.org/wiki/Leeward_Caribbean_Creole_English
aih,aich1238,threatened,https://en.wikipedia.org/wiki/Ai-Cham_language
aii,assy1241,shifting,https://en.wikipedia.org/wiki/Suret_language
aij,lish1245,moribund,https://en.wikipedia.org/wiki/Inter-Zab_Jewish_Neo-Aramaic
aik,akee1238,threatened,https://en.wikipedia.org/wiki/Ake_language
ail,aime1238,shifting,https://en.wikipedia.org/wiki/Aimele_language
aim,aimo1244,shifting,https://en.wikipedia.org/wiki/Aimol_language
ain,ainu1240,nearly extinct,https://en.wikipedia.org/wiki/Ainu_language
aio,aito1238,shifting,https://en.wikipedia.org/wiki/Aiton_language
aip,buru1307,moribund,https://en.wikipedia.org/wiki/Burumakok_language
aiq,aima1241,not endangered,https://en.wikipedia.org/wiki/Aimaq_dialect
air,airo1242,threatened,https://en.wikipedia.org/wiki/Airoran_language
ait,arik1264,extinct,https://en.wikipedia.org/wiki/Arikem_language
aiw,aari1239,not endangered,https://en.wikipedia.org/wiki/Aari_language
aix,aigh1235,not endangered,https://en.wikipedia.org/wiki/Aigon_language
aiy,alii1240,not endangered,https://en.wikipedia.org/wiki/Ali_language
aja,ajas1235,shifting,https://en.wikipedia.org/wiki/Aja_language_(Nilo-Saharan)
ajg,ajab1235,not endangered,https://en.wikipedia.org/wiki/Adja_language
aji,ajie1238,not endangered,https://en.wikipedia.org/wiki/Aji%C3%AB_language
ajn,anda1282,extinct,
ajp,sout3123,not endangered,https://en.wikipedia.org/wiki/South_Levantine_Arabic
ajt,jude1263,not endangered,https://en.wikipedia.org/wiki/Judeo-Tunisian_Arabic
aju,jude1265,not endangered,https://en.wikipedia.org/wiki/Judeo-Moroccan_Arabic
ajw,ajaw1236,extinct,https://en.wikipedia.org/wiki/Ajawa_language
ajz,amri1238,threatened,https://en.wikipedia.org/wiki/Amri_language
aka,akan1250,not endangered,https://en.wikipedia.org/wiki/Akan_language
akb,bata1290,threatened,https://en.wikipedia.org/wiki/Angkola_language
akc,mpur1239,shifting,https://en.wikipedia.org/wiki/Mpur_language
akd,ukpe1249,not endangered,https://en.wikipedia.org/wiki/Akpet_language
ake,akaw1239,threatened,
akf,akpa1238,not endangered,
akg,anak1240,threatened,https://en.wikipedia.org/wiki/Anakalangu_language
akh,anga1292,not endangered,
aki,aiom1240,shifting,https://en.wikipedia.org/wiki/Aiome_language
akj,akaj1239,nearly extinct,https://en.wikipedia.org/wiki/Aka-Jeru_language
akk,akka1240,extinct,https://en.wikipedia.org/wiki/Akkadian_language
akl,akla1240,not endangered,https://en.wikipedia.org/wiki/Aklanon_language
akm,akab1248,extinct,https://en.wikipedia.org/wiki/Aka-Bo_language
ako,akur1238,extinct,https://en.wikipedia.org/wiki/Akurio_language
akp,siwu1238,not endangered,https://en.wikipedia.org/wiki/Siwu_language
akq,akkk1240,moribund,https://en.wikipedia.org/wiki/Ak_language
akr,arak1252,nearly extinct,https://en.wikipedia.org/wiki/Araki_language
aks,akas1242,not endangered,
akt,akol1237,not endangered,https://en.wikipedia.org/wiki/Akolet_language
aku,akum1238,shifting,https://en.wikipedia.org/wiki/Akum_language
akv,akhv1239,shifting,https://en.wikipedia.org/wiki/Akhvakh_language
akw,akwa1248,threatened,https://en.wikipedia.org/wiki/Akwa_language
akx,akak1252,extinct,https://en.wikipedia.org/wiki/Aka-Kede_language
aky,akak1253,extinct,https://en.wikipedia.org/wiki/Aka-Kol_language
akz,alab1237,shifting,https://en.wikipedia.org/wiki/Alabama_language
ala,alag1242,threatened,https://en.wikipedia.org/wiki/Alago_language
alc,qawa1238,nearly extinct,https://en.wikipedia.org/wiki/Kaw%C3%A9sqar_language
ald,alla1248,not endangered,https://en.wikipedia.org/wiki/Alladian_language
ale,aleu1260,shifting,https://en.wikipedia.org/wiki/Aleut_language
alf,aleg1238,not endangered,https://en.wikipedia.org/wiki/Alege_language
alh,alaw1244,nearly extinct,https://en.wikipedia.org/wiki/Alawa_language
ali,amai1246,not endangered,https://en.wikipedia.org/wiki/Amaimon_language
alj,alan1249,threatened,https://en.wikipedia.org/wiki/Alangan_language
alk,alak1253,not endangered,https://en.wikipedia.org/wiki/Alak_language
all,alla1247,shifting,https://en.wikipedia.org/wiki/Allar_language
alm,ambl1237,shifting,https://en.wikipedia.org/wiki/Amblong_language
aln,gheg1238,not endangered,https://en.wikipedia.org/wiki/Gheg_Albanian
alo,lari1255,threatened,https://en.wikipedia.org/wiki/Wakasihu_language
alp,alun1238,threatened,https://en.wikipedia.org/wiki/Alune_language
alq,algo1255,threatened,https://en.wikipedia.org/wiki/Algonquin_language
alr,alut1245,moribund,https://en.wikipedia.org/wiki/Alyutor_language
als,tosk1239,not endangered,https://en.wikipedia.org/wiki/Tosk_Albanian
alt,sout2694,shifting,https://en.wikipedia.org/wiki/Southern_Altai_language
alu,area1240,not endangered,https://en.wikipedia.org/wiki/%EA%9E%8BAre%EA%9E%8Care_language
alw,alab1254,not endangered,https://en.wikipedia.org/wiki/Alaba-K%CA%BCabeena_language
alx,amol1235,shifting,https://en.wikipedia.org/wiki/Mol_language
aly,alya1239,threatened,
alz,alur1250,not endangered,https://en.wikipedia.org/wiki/Alur_language
ama,aman1266,extinct,https://en.wikipedia.org/wiki/Amanay%C3%A9_language
amb,ambo1249,threatened,https://en.wikipedia.org/wiki/Ambo_language_(Nigeria)
amc,amah1246,shifting,https://en.wikipedia.org/wiki/Amawaka_language
ame,yane1238,shifting,https://en.wikipedia.org/wiki/Yanesha%27_language
amf,hame1242,threatened,https://en.wikipedia.org/wiki/Hamer_language
amg,amar1271,nearly extinct,https://en.wikipedia.org/wiki/Amurdak_language
amh,amha1245,not endangered,https://en.wikipedia.org/wiki/Amharic
ami,amis1246,threatened,https://en.wikipedia.org/wiki/Amis_language
amj,amda1238,shifting,https://en.wikipedia.org/wiki/Amdang_language
amk,amba1265,threatened,https://en.wikipedia.org/wiki/Ambai_language
aml,warj1242,not endangered,https://en.wikipedia.org/wiki/War_language
amm,amap1240,threatened,https://en.wikipedia.org/wiki/Ama_language_(New_Guinea)
amn,aman1265,shifting,https://en.wikipedia.org/wiki/Amanab_language
amo,amoo1242,not endangered,https://en.wikipedia.org/wiki/Map_language
amp,alam1246,shifting,https://en.wikipedia.org/wiki/Alamblak_language
amq,amah1245,nearly extinct,https://en.wikipedia.org/wiki/Amahai_language
amr,amar1274,shifting,https://en.wikipedia.org/wiki/Amarakaeri_language
ams,sout2954,moribund,https://en.wikipedia.org/wiki/Southern_Amami_%C5%8Cshima_language
amt,amto1250,shifting,https://en.wikipedia.org/wiki/Amto_language
amu,guer1243,threatened,https://en.wikipedia.org/wiki/Guerrero_Amuzgo_language
amv,ambe1248,threatened,https://en.wikipedia.org/wiki/Ambelau_language
amw,west2763,shifting,https://en.wikipedia.org/wiki/Western_Neo-Aramaic
amx,anma1239,shifting,
amy,amii1238,nearly extinct,
amz,atam1239,extinct,https://en.wikipedia.org/wiki/Atampaya_language
ana,anda1286,extinct,https://en.wikipedia.org/wiki/Andaqui_language
anb,ando1255,extinct,https://en.wikipedia.org/wiki/Andoa_language
anc,ngas1240,threatened,https://en.wikipedia.org/wiki/Ngas_language
and,ansu1237,threatened,https://en.wikipedia.org/wiki/Ansus_language
ane,xara1244,not endangered,https://en.wikipedia.org/wiki/X%C3%A2r%C3%A2c%C3%B9%C3%B9
anf,anim1239,moribund,https://en.wikipedia.org/wiki/Animere_language
ang,olde1238,extinct,https://en.wikipedia.org/wiki/Old_English
anh,nend1239,threatened,https://en.wikipedia.org/wiki/Nend_language
ani,andi1255,threatened,https://en.wikipedia.org/wiki/Andi_language
anj,anor1241,shifting,https://en.wikipedia.org/wiki/Anor_language
ank,goem1240,threatened,https://en.wikipedia.org/wiki/Goemai_language
anl,anuu1241,threatened,https://en.wikipedia.org/wiki/Anu-Hkongso_language
anm,anal1239,shifting,https://en.wikipedia.org/wiki/Anal_language
ann,obol1243,not endangered,https://en.wikipedia.org/wiki/Obolo_language
ano,ando1256,nearly extinct,https://en.wikipedia.org/wiki/Andoque_language
anp,angi1238,threatened,https://en.wikipedia.org/wiki/Angika
anq,jara1245,threatened,https://en.wikipedia.org/wiki/Jarawa_language_(Andaman_Islands)
anr,andh1242,threatened,https://en.wikipedia.org/wiki/Andh_language
ans,anse1238,extinct,
ant,anta1253,nearly extinct,https://en.wikipedia.org/wiki/Antakarinya_dialect
anu,anua1242,not endangered,https://en.wikipedia.org/wiki/Anuak_language
anv,deny1238,threatened,https://en.wikipedia.org/wiki/Denya_language
anw,anaa1238,threatened,https://en.wikipedia.org/wiki/Anaang_language
anx,andr1248,not endangered,https://en.wikipedia.org/wiki/Hus_language
any,anyi1245,not endangered,https://en.wikipedia.org/wiki/Anyin_language
anz,anem1249,shifting,https://en.wikipedia.org/wiki/An%C3%AAm_language
aoa,ango1258,threatened,https://en.wikipedia.org/wiki/Angolar_Creole
aob,abom1238,nearly extinct,https://en.wikipedia.org/wiki/Abom_language
aoc,pemo1248,threatened,https://en.wikipedia.org/wiki/Pemon_language
aod,anda1284,shifting,https://en.wikipedia.org/wiki/Andarum_language
aoe,anga1294,not endangered,
aof,brag1240,shifting,https://en.wikipedia.org/wiki/Bragat_language
aog,ango1255,shifting,https://en.wikipedia.org/wiki/Angoram_language
aoi,anin1240,shifting,https://en.wikipedia.org/wiki/Anindilyakwa_language
