,name,glottocode,iso6393,aes_status,Degree of endangerment,family,family_id,dialects,child_dialect_count,child_family_count,child_language_count,speakers,Number of speakers,regions,macroarea,latitude,longitude,level,type,scope,bookkeeping,description,markup_description,country_ids,parent_id,off_lang,rec_min_lang,Wikipedia_Url
0,Ghotuo,ghot1243,aaa,not endangered,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta–Niger', 'yeai', 'Edoid', 'North-Central', 'Yekhee', 'Ghotuo']",atla1278,,0.0,0.0,0.0,"(9,000 cited 1994)[1]",,Edo State,Africa,7.11551,5.95663,language,living,individual,False,,,NG,afen1234,,,https://en.wikipedia.org/wiki/Ghotuo_language
1,Alumu-Tesu,alum1246,aab,not endangered,,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'Alumic', 'Alumu-Toro', 'Alumu-Akpondu', 'Alumu-Tesu']",,"['Alumu', 'Tesu']",,,,"(7,000 cited 1999)[1]",,Nassarawa State,,,,,living,individual,,,,,,,,https://en.wikipedia.org/wiki/Alumu_language
2,Ari,arii1243,aac,moribund,Severely endangered,"['Papuan Gulf', '\xa0?\n', 'Gogodala–Suki', 'Gogodala', 'Ari']",suki1244,,0.0,0.0,0.0,50 (2000)[1],80.0,"Ari and Serea villages, Aramia River area, Western Province.",Papunesia,-7.95526,142.4,language,living,individual,False,,,PG,ariw1234,,,https://en.wikipedia.org/wiki/Ari_language_(New_Guinea)
3,Amal,amal1242,aad,shifting,,"['Sepik', 'Upper Sepik', 'Amal–Kalou', 'Amal']",sepi1257,,0.0,0.0,0.0,830 (2003)[1],,Sandaun Province and East Sepik Province,Papunesia,-4.04517,141.995,language,living,individual,False,,,PG,sepi1257,,,https://en.wikipedia.org/wiki/Amal_language
4,Arbëreshë Albanian,arbe1236,aae,threatened,,"['Indo-European', 'Albanian', 'Tosk', 'Southern', 'Arbëresh']",indo1319,"['Vaccarizzo Albanian', 'Palermitan Albanian\n', '\nCalabrian Albanian']",4.0,0.0,0.0,"70,000-100,000[1]",,"Abruzzo, Apulia, Basilicata, Calabria, Campania, Molise, Sicily",Eurasia,38.911,16.7164,language,living,individual,False,,,IT,sout3378,,,https://en.wikipedia.org/wiki/Arb%C3%ABresh_language
5,Aranadan,aran1261,aaf,shifting,,"['Dravidian', 'Southern', 'Tamil–Kannada', 'Tamil–Kodagu', 'Tamil–Malayalam', 'Malayalam languages', 'Eranadan language']",drav1251,,0.0,0.0,0.0,200 in more accessible areas (2001 census)[1],,Malappuram District,Eurasia,11.35252,75.79538,language,living,individual,False,,,IN,mala1541,,,https://en.wikipedia.org/wiki/Eranadan_language
6,Ambrak,ambr1239,aag,threatened,,"['Torricelli', 'Palei', 'Aiku', 'Ambrak']",nucl1708,,0.0,0.0,0.0,290 (2000 census)[1],,"Nuku District, Sandaun Province",Papunesia,-3.61,142.56,language,living,individual,False,,,PG,yang1294,,,https://en.wikipedia.org/wiki/Ambrak_language
7,Abu' Arapesh,abua1245,aah,shifting,,"['Torricelli', 'Arapesh', ""Abu'""]",nucl1708,,0.0,0.0,0.0,"2,600 (2000 census)[1]",,"East Sepik Province: Albiges/Mablep Rural LLG, ward 8; Sandaun Province: East Aitape Rural LLG, wards 23, 24, 25",Papunesia,-3.461612,142.917031,language,living,individual,False,,,PG,buki1250,,,https://en.wikipedia.org/wiki/Abu%CA%BC_Arapesh_language
8,Arifama-Miniafia,arif1239,aai,shifting,,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western', 'Papuan Tip', 'Kilivila – ', 'Nuclear Papuan Tip', 'Are–Taupota', 'Are', 'Arifama']",aust1307,,2.0,0.0,0.0,"3,500 (2000)[1]",,Oro Province,Papunesia,-9.15565,149.246,language,living,individual,False,,,PG,arei1235,,,https://en.wikipedia.org/wiki/Arifama-Miniafia_language
9,Ankave,anka1246,aak,not endangered,,"['Trans–New Guinea', 'Angan', 'Southwest', 'Ankave']",anga1289,,6.0,0.0,0.0,"1,500 (2014)[1]",,"Kerema District, Gulf Province, Papua New Guinea",Papunesia,-7.19444,145.754,language,living,individual,False,,,PG,sout3130,,,https://en.wikipedia.org/wiki/Ankave_language
10,Afade,afad1236,aal,threatened,,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Kotoko', ' (B.1)', 'North', 'Afade']",afro1255,,0.0,0.0,0.0,"5,000 in Cameroon (2004)[1]unknown number in Nigeria",,"Far North Province, Cameroon; Borno State, Nigeria",Africa,12.0551,14.6343,language,living,individual,False,,,CM NG,koto1268,,,https://en.wikipedia.org/wiki/Afade_language
11,Anambé,anam1249,aan,extinct,Critically endangered,"['Tupian', 'Tupi–Guaraní', 'Xingu', 'Anambé']",tupi1275,,0.0,0.0,0.0,6 (2006)[1],6.0,"Pará, Cairari River",South America,-2.71119,-49.303,language,living,individual,False,,,BR,araw1290,,,https://en.wikipedia.org/wiki/Anamb%C3%A9_language
12,Algerian Saharan Arabic,alge1240,aao,not endangered,,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Maghrebi', 'Algerian Saharan Arabic']",afro1255,,0.0,0.0,0.0,"310,000 (2022)[1]",,"Atlas Mountains, southern Sahara",Africa,20.8884,4.80626,language,living,individual,False,,,DZ EH LY MA NE,nort3191,,,https://en.wikipedia.org/wiki/Algerian_Saharan_Arabic
13,Pará Arára,para1310,aap,threatened,,"['Cariban', 'Pekodian', 'Arara', 'Arára']",cari1283,,0.0,0.0,0.0,340 (2010)[1],,Pará,South America,-3.71263,-53.0657,language,living,individual,False,,,BR,xing1247,,,https://en.wikipedia.org/wiki/Par%C3%A1_Ar%C3%A1ra_language
14,Eastern Abnaki,east2544,aaq,extinct,,,,,,,,,,,,,,,extinct,individual,,,,,,,,
15,Afar,afar1241,aar,not endangered,,"['Afro-Asiatic', 'Cushitic', 'Lowland East', 'Saho–Afar', 'Afar']",afro1255,"['Aussa ', "" Ba'adu "", ' Central Afar ', ' Northern Afar']",4.0,0.0,0.0,2.6 million (2019–2020)[1],,Horn of Africa,Africa,12.2281,41.8083,language,living,individual,False,,,DJ ER ET,saho1245, Ethiopia, Djibouti Eritrea,https://en.wikipedia.org/wiki/Afar_language
16,Aasáx,aasa1238,aas,extinct,,"['Afro-Asiatic', 'Cushitic', 'Rift', '?', 'East Rift', 'Asa']",,,,,,,,Tanzania,,,,,living,individual,,,,,,,,https://en.wikipedia.org/wiki/Asa_language
17,Arvanitika Albanian,arva1236,aat,threatened,,"['Indo-European', 'Albanian', 'Tosk', 'Southern', 'Arvanitika']",indo1319,"['Viotia Arvanitika', 'Attiki Arvanitika', 'Salamina Arvanitika', 'Evia Arvanitika']",3.0,0.0,0.0,"50,000 (2007)[3](may be republished older data)",,"Attica, Boeotia, South Euboea, Saronic Islands; Western Thrace; Peloponnese; some villages in NW of Greece; N of island of Andros; more than 500 villages in total[1]",Eurasia,38.283,23.3703,language,living,individual,False,,,GR,sout3378,,,https://en.wikipedia.org/wiki/Arvanitika
18,Abau,abau1245,aau,shifting,,"['Sepik', 'Upper Sepik', 'Abau']",sepi1257,,0.0,0.0,0.0,"7,500 (2008 census)[1]",,Sandaun Province,Papunesia,-3.97222,141.324,language,living,individual,False,,,PG,sepi1257,,,https://en.wikipedia.org/wiki/Abau_language
19,Solong,solo1258,aaw,not endangered,,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'North New Guinea', 'Ngero–Vitiaz', 'Southwest New Britain', 'Arawe–Pasismanua', 'West Arawe', 'Solong']",aust1307,,1.0,0.0,0.0,"(2,200 cited 1981)[1]",,West New Britain Province,Papunesia,-5.86129,148.825,language,living,individual,False,,,PG,west2530,,,https://en.wikipedia.org/wiki/Solong_language
20,Mandobo Atas,mand1444,aax,threatened,,,nucl1709,,4.0,0.0,0.0,,,,Papunesia,-5.69357,140.624,language,living,individual,False,,,ID,mand1473,,,
21,Amarasi,amar1273,aaz,threatened,,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Timoric', 'West Timor', 'Atoni', 'Amarasi']",aust1307,,5.0,0.0,0.0,"70,000 (2011)[1]",,West Timor,Papunesia,-10.21751,123.96373,language,living,individual,False,,,ID,uabm1238,,,https://en.wikipedia.org/wiki/Amarasi_language
