,lang,family,dialects,iso3code,glottocode,speakers,regions,off_lang,rec_min_lang,url
0,%27Phags-pa_script,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/%27Phags-pa_script
1,(Upper) Umpqua,"Dené–Yeniseian,Na-Dené, Athabaskan, Pacific Coast Athabaskan, (Upper) Umpqua","Dené–Yeniseian,Na-Dené, Athabaskan, Pacific Coast Athabaskan, (Upper) Umpqua",xup,uppe1436,Uknown,Oregon (Umpqua Valley),Unknown,Unknown,https://en.wikipedia.org/wiki/Upper_Umpqua_language
2,2006_South_Ossetian_independence_referendum,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/2006_South_Ossetian_independence_referendum
3,Aari,"Afro-Asiatic, Omotic, South, Aari","Afro-Asiatic, Omotic, South, Aari",aiw,aari1239,"290,000 ",north central Omo Region,Unknown,Unknown,https://en.wikipedia.org/wiki/Aari_language
4,Abai Sungai,"Austronesian, Malayo-Polynesian, North Bornean, Southwest Sabahan, Paitanic, Abai Sungai","Austronesian, Malayo-Polynesian, North Bornean, Southwest Sabahan, Paitanic, Abai Sungai",abf,abai1240,Uknown,Sabah,Unknown,Unknown,https://en.wikipedia.org/wiki/Sungai_language
5,Abaza,"Northwest Caucasian, Abazgi, Abaza","Northwest Caucasian, Abazgi, Abaza",abq,abaz1241,"49,800 ",Karachay-Cherkessia, Russia Karachay-Cherkessia,Unknown,https://en.wikipedia.org/wiki/Abaza_language
6,Abellen,"Austronesian, Malayo-Polynesian, Philippine, Central Luzon, Sambalic, Abellen","Austronesian, Malayo-Polynesian, Philippine, Central Luzon, Sambalic, Abellen",abp,aben1249,"3,000 ",Tarlac,Unknown,Unknown,https://en.wikipedia.org/wiki/Abellen_language
7,Abenaki,"Algic, Algonquian, Eastern Algonquian, Abenaki","Algic, Algonquian, Eastern Algonquian, Abenaki",Either:titleaaqtitle – Eastern Abenakititleabetitle – Western Abenaki,east2544title  Eastern Abenakititlewest2630title  Western Abenaki,14 Western Abenaki ,"Quebec, New Brunswick, Maine, Vermont, New Hampshire",Unknown,Unknown,https://en.wikipedia.org/wiki/Abenaki_language
8,Abenaki#Eastern_Abenaki,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Abenaki#Eastern_Abenaki
9,Abenaki_people,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Abenaki_people
10,Abkhaz,"Northwest Caucasian, Abazgi, Abkhaz","Northwest Caucasian, Abazgi, Abkhaz",abktitle  Abkhazian,abkh1244title  Abkhaz,"190,000 ",Georgia,Republic of Abkhaziaa,Georgia,https://en.wikipedia.org/wiki/Abkhaz_language
11,Abkhazia,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Abkhazia
12,Abui,"Trans–New Guinea, \xa, West Bomberai, \xa, Timor–Alor–Pantar, Alor–Pantar, Alor, Abui","Trans–New Guinea, \xa, West Bomberai, \xa, Timor–Alor–Pantar, Alor–Pantar, Alor, Abui",abz,abui1241,Uknown,Alor Island,Unknown,Unknown,https://en.wikipedia.org/wiki/Abui_language
13,Abure,"Niger–Congo,Atlantic–Congo, Kwa, Potou–Tano, Tano, West, Abure","Niger–Congo,Atlantic–Congo, Kwa, Potou–Tano, Tano, West, Abure",abu,abur1243,"93,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Abure_language
14,Acazulco Otomi,"Oto-Manguean, Oto-Pamean, Otomian, Eastern, Acazulco Otomi","Oto-Manguean, Oto-Pamean, Otomian, Eastern, Acazulco Otomi",Nonetitle (titlemistitle),,100-200 ,"Ocoyoacac, Mexico State",Unknown,Unknown,https://en.wikipedia.org/wiki/Acazulco_Otomi
15,Acehnese,"Austronesian, Malayo-Polynesian, Chamic, Acehnese","Austronesian, Malayo-Polynesian, Chamic, Acehnese",ace,achi1257,2.8 million ,"Aceh, Sumatra","Indonesia
Aceh (co-official with Indonesian)
",Unknown,https://en.wikipedia.org/wiki/Acehnese_language
16,Achagua,"Arawakan, Northern, Upper Amazon, Western Nawiki, Piapoko, Achagua","Arawakan, Northern, Upper Amazon, Western Nawiki, Piapoko, Achagua",acatitle  Achagua,acha1250title  Achaguatitlepona1251title  Ponares,250 ,,Unknown,Unknown,https://en.wikipedia.org/wiki/Achagua_language
17,Achang,"Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Burmish, Achang","Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Burmish, Achang",acn,acha1252,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Achang_language
18,Achang,"Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Burmish, Achang","Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Burmish, Achang",acn,acha1252,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Chintaw_language
19,Acheron,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Acheron
20,Achi,"Mayan, Quichean–Mamean, Greater Quichean, Quichean, Quiché–Achi, Achi","Mayan, Quichean–Mamean, Greater Quichean, Quichean, Quiché–Achi, Achi",acr,achi1256,"120,000 ",Baja Verapaz,Unknown, Guatemala,https://en.wikipedia.org/wiki/Achi_language
21,Achomawi,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Achomawi
22,Achuar,"Chicham, Achuar","Chicham, Achuar",acu,achu1248,"4,420 in Peru ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Shiwiar_language
23,Achuar,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Achuar
24,Achumawi,"Hokan, \xa, Shasta, –Palaihnihan\xa, Palaihnihan, Achumawi","Hokan, \xa, Shasta, –Palaihnihan\xa, Palaihnihan, Achumawi",acv,achu1247,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Achumawi_language
25,Adai,unclassified,unclassified,xad,adai1235,Uknown,Louisiana,Unknown,Unknown,https://en.wikipedia.org/wiki/Adai_language
26,Adele,"Niger–Congo,Atlantic–Congo, Kwa, Anii–Adere, Adele","Niger–Congo,Atlantic–Congo, Kwa, Anii–Adere, Adele",ade,adel1244,"37,000 ",Ghana and Togo,Unknown,Unknown,https://en.wikipedia.org/wiki/Adele_language
27,Adjukru,"Niger–Congo,Atlantic–Congo, Kwa, Adjukru","Niger–Congo,Atlantic–Congo, Kwa, Adjukru",adj,adio1239,"160,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Adjukru_language
28,Administrative_units_of_Pakistan,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Administrative_units_of_Pakistan
