,lang,family,dialects,iso3code,glottocode,speakers,regions,off_lang,rec_min_lang,url
0,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta–Niger', 'yeai', 'Edoid', 'North-Central', 'Yekhee', 'Ghotuo']",Data not available,aaa,ghot1243,"(9,000 cited 1994)[1]",Edo State,Data not available,Data not available,https://en.wikipedia.org/wiki/Ghotuo_language,Ghotuo_language
1,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'Alumic', 'Alumu-Toro', 'Alumu-Akpondu', 'Alumu-Tesu']","['Alumu', 'Tesu']",aab,alum1246,"(7,000 cited 1999)[1]",Nassarawa State,Data not available,Data not available,https://en.wikipedia.org/wiki/Alumu_language,Alumu_language
2,"['Papuan Gulf', '\xa0?\n', 'Gogodala–Suki', 'Gogodala', 'Ari']",Data not available,aac,arii1243,50 (2000)[1],"Ari and Serea villages, Aramia River area, Western Province.",Data not available,Data not available,https://en.wikipedia.org/wiki/Ari_language_(New_Guinea),Ari_language_(New_Guinea)
3,"['Sepik', 'Upper Sepik', 'Amal–Kalou', 'Amal']",Data not available,aad,amal1242,830 (2003)[1],Sandaun Province and East Sepik Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Amal_language,Amal_language
4,"['Indo-European', 'Albanian', 'Tosk', 'Southern', 'Arbëresh']","['Vaccarizzo Albanian', 'Palermitan Albanian\n', '\nCalabrian Albanian']",aae,arbe1236,"70,000-100,000[1]","Abruzzo, Apulia, Basilicata, Calabria, Campania, Molise, Sicily",Data not available,Data not available,https://en.wikipedia.org/wiki/Arb%C3%ABresh_language,Arb%C3%ABresh_language
5,"['Dravidian', 'Southern', 'Tamil–Kannada', 'Tamil–Kodagu', 'Tamil–Malayalam', 'Malayalam languages', 'Eranadan language']",Data not available,aaf,aran1261,200 in more accessible areas (2001 census)[1],Malappuram District,Data not available,Data not available,https://en.wikipedia.org/wiki/Eranadan_language,Eranadan_language
6,"['Torricelli', 'Palei', 'Aiku', 'Ambrak']",Data not available,aag,ambr1239,290 (2000 census)[1],"Nuku District, Sandaun Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Ambrak_language,Ambrak_language
7,"['Torricelli', 'Arapesh', ""Abu'""]",Data not available,aah,abua1245,"2,600 (2000 census)[1]","East Sepik Province: Albiges/Mablep Rural LLG, ward 8; Sandaun Province: East Aitape Rural LLG, wards 23, 24, 25",Data not available,Data not available,https://en.wikipedia.org/wiki/Abu%CA%BC_Arapesh_language,Abu%CA%BC_Arapesh_language
8,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western', 'Papuan Tip', 'Kilivila – ', 'Nuclear Papuan Tip', 'Are–Taupota', 'Are', 'Arifama']",Data not available,aai,arif1239,"3,500 (2000)[1]",Oro Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Arifama-Miniafia_language,Arifama-Miniafia_language
9,"['Trans–New Guinea', 'Angan', 'Southwest', 'Ankave']",Data not available,aak,anka1246,"1,500 (2014)[1]","Kerema District, Gulf Province, Papua New Guinea",Data not available,Data not available,https://en.wikipedia.org/wiki/Ankave_language,Ankave_language
10,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Kotoko', ' (B.1)', 'North', 'Afade']",Data not available,aal,afad1236,"5,000 in Cameroon (2004)[1]unknown number in Nigeria","Far North Province, Cameroon; Borno State, Nigeria",Data not available,Data not available,https://en.wikipedia.org/wiki/Afade_language,Afade_language
11,"['Tupian', 'Tupi–Guaraní', 'Xingu', 'Anambé']",Data not available,aan,anam1249,6 (2006)[1],"Pará, Cairari River",Data not available,Data not available,https://en.wikipedia.org/wiki/Anamb%C3%A9_language,Anamb%C3%A9_language
12,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Maghrebi', 'Algerian Saharan Arabic']",Data not available,aao,alge1240,"310,000 (2022)[1]","Atlas Mountains, southern Sahara",Data not available,Data not available,https://en.wikipedia.org/wiki/Algerian_Saharan_Arabic,Algerian_Saharan_Arabic
13,"['Cariban', 'Pekodian', 'Arara', 'Arára']",Data not available,aap,para1310,340 (2010)[1],Pará,Data not available,Data not available,https://en.wikipedia.org/wiki/Par%C3%A1_Ar%C3%A1ra_language,Par%C3%A1_Ar%C3%A1ra_language
14,"['Afro-Asiatic', 'Cushitic', 'Lowland East', 'Saho–Afar', 'Afar']","['Aussa ', "" Ba'adu "", ' Central Afar ', ' Northern Afar']",aar,afar1241,2.6 million (2019–2020)[1],Horn of Africa, Ethiopia, Djibouti Eritrea,https://en.wikipedia.org/wiki/Afar_language,Afar_language
15,"['Afro-Asiatic', 'Cushitic', 'Rift', '?', 'East Rift', 'Asa']",Data not available,aas,aasa1238,Data not available,Tanzania,Data not available,Data not available,https://en.wikipedia.org/wiki/Asa_language,Asa_language
