,lang,family,dialects,iso6393,glottocode,speakers,regions,off_lang,rec_min_lang,Wikipedia_Url
0,Ghotuo,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta–Niger', 'yeai', 'Edoid', 'North-Central', 'Yekhee', 'Ghotuo']",Data not available,aaa,ghot1243,"(9,000 cited 1994)[1]",Edo State,Data not available,Data not available,https://en.wikipedia.org/wiki/Ghotuo_language
1,Alumu-Tesu,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'Alumic', 'Alumu-Toro', 'Alumu-Akpondu', 'Alumu-Tesu']","['Alumu', 'Tesu']",aab,alum1246,"(7,000 cited 1999)[1]",Nassarawa State,Data not available,Data not available,https://en.wikipedia.org/wiki/Alumu_language
2,Ari,"['Papuan Gulf', '\xa0?\n', 'Gogodala–Suki', 'Gogodala', 'Ari']",Data not available,aac,arii1243,50 (2000)[1],"Ari and Serea villages, Aramia River area, Western Province.",Data not available,Data not available,https://en.wikipedia.org/wiki/Ari_language_(New_Guinea)
3,Amal,"['Sepik', 'Upper Sepik', 'Amal–Kalou', 'Amal']",Data not available,aad,amal1242,830 (2003)[1],Sandaun Province and East Sepik Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Amal_language
4,Arbëresh,"['Indo-European', 'Albanian', 'Tosk', 'Southern', 'Arbëresh']","['Vaccarizzo Albanian', 'Palermitan Albanian\n', '\nCalabrian Albanian']",aae,arbe1236,"70,000-100,000[1]","Abruzzo, Apulia, Basilicata, Calabria, Campania, Molise, Sicily",Data not available,Data not available,https://en.wikipedia.org/wiki/Arb%C3%ABresh_language
5,Eranadan language,"['Dravidian', 'Southern', 'Tamil–Kannada', 'Tamil–Kodagu', 'Tamil–Malayalam', 'Malayalam languages', 'Eranadan language']",Data not available,aaf,aran1261,200 in more accessible areas (2001 census)[1],Malappuram District,Data not available,Data not available,https://en.wikipedia.org/wiki/Eranadan_language
6,Ambrak,"['Torricelli', 'Palei', 'Aiku', 'Ambrak']",Data not available,aag,ambr1239,290 (2000 census)[1],"Nuku District, Sandaun Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Ambrak_language
7,Abu',"['Torricelli', 'Arapesh', ""Abu'""]",Data not available,aah,abua1245,"2,600 (2000 census)[1]","East Sepik Province: Albiges/Mablep Rural LLG, ward 8; Sandaun Province: East Aitape Rural LLG, wards 23, 24, 25",Data not available,Data not available,https://en.wikipedia.org/wiki/Abu%CA%BC_Arapesh_language
8,Arifama,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western', 'Papuan Tip', 'Kilivila – ', 'Nuclear Papuan Tip', 'Are–Taupota', 'Are', 'Arifama']",Data not available,aai,arif1239,"3,500 (2000)[1]",Oro Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Arifama-Miniafia_language
9,Ankave,"['Trans–New Guinea', 'Angan', 'Southwest', 'Ankave']",Data not available,aak,anka1246,"1,500 (2014)[1]","Kerema District, Gulf Province, Papua New Guinea",Data not available,Data not available,https://en.wikipedia.org/wiki/Ankave_language
10,Afade,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Kotoko', ' (B.1)', 'North', 'Afade']",Data not available,aal,afad1236,"5,000 in Cameroon (2004)[1]unknown number in Nigeria","Far North Province, Cameroon; Borno State, Nigeria",Data not available,Data not available,https://en.wikipedia.org/wiki/Afade_language
11,Anambé,"['Tupian', 'Tupi–Guaraní', 'Xingu', 'Anambé']",Data not available,aan,anam1249,6 (2006)[1],"Pará, Cairari River",Data not available,Data not available,https://en.wikipedia.org/wiki/Anamb%C3%A9_language
12,Algerian Saharan Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Maghrebi', 'Algerian Saharan Arabic']",Data not available,aao,alge1240,"310,000 (2022)[1]","Atlas Mountains, southern Sahara",Data not available,Data not available,https://en.wikipedia.org/wiki/Algerian_Saharan_Arabic
13,Arára,"['Cariban', 'Pekodian', 'Arara', 'Arára']",Data not available,aap,para1310,340 (2010)[1],Pará,Data not available,Data not available,https://en.wikipedia.org/wiki/Par%C3%A1_Ar%C3%A1ra_language
14,Afar,"['Afro-Asiatic', 'Cushitic', 'Lowland East', 'Saho–Afar', 'Afar']","['Aussa ', "" Ba'adu "", ' Central Afar ', ' Northern Afar']",aar,afar1241,2.6 million (2019–2020)[1],Horn of Africa, Ethiopia, Djibouti Eritrea,https://en.wikipedia.org/wiki/Afar_language
15,Asa,"['Afro-Asiatic', 'Cushitic', 'Rift', '?', 'East Rift', 'Asa']",Data not available,aas,aasa1238,Data not available,Tanzania,Data not available,Data not available,https://en.wikipedia.org/wiki/Asa_language
16,Arvanitika,"['Indo-European', 'Albanian', 'Tosk', 'Southern', 'Arvanitika']","['Viotia Arvanitika', 'Attiki Arvanitika', 'Salamina Arvanitika', 'Evia Arvanitika']",aat,arva1236,"50,000 (2007)[3](may be republished older data)","Attica, Boeotia, South Euboea, Saronic Islands; Western Thrace; Peloponnese; some villages in NW of Greece; N of island of Andros; more than 500 villages in total[1]",Data not available,Data not available,https://en.wikipedia.org/wiki/Arvanitika
17,Abau,"['Sepik', 'Upper Sepik', 'Abau']",Data not available,aau,abau1245,"7,500 (2008 census)[1]",Sandaun Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Abau_language
18,Solong,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'North New Guinea', 'Ngero–Vitiaz', 'Southwest New Britain', 'Arawe–Pasismanua', 'West Arawe', 'Solong']",Data not available,aaw,solo1258,"(2,200 cited 1981)[1]",West New Britain Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Solong_language
19,Amarasi,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern', 'Timoric', 'West Timor', 'Atoni', 'Amarasi']",Data not available,aaz,amar1273,"70,000 (2011)[1]",West Timor,Data not available,Data not available,https://en.wikipedia.org/wiki/Amarasi_language
20,Abé,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Abé']",Data not available,aba,abee1242,"300,000 (2017)[1]",Ivory Coast,Data not available,Data not available,https://en.wikipedia.org/wiki/Ab%C3%A9_language
21,Bankon,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Bantu', ' (', 'Zone A', ')', 'Basaa', ' (A.40)', 'Rombi–Bankon', 'Bankon']",Data not available,abb,bank1256,"12,000 (2001)[1]",Littoral region,Data not available,Data not available,https://en.wikipedia.org/wiki/Bankon_language
22,Ambala,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Luzon', 'Sambalic', 'Ambala']",Data not available,abc,amba1267,"(1,700 cited 1986)[1]","Zambales, Olongapo, Dinalupihan",Data not available,Data not available,https://en.wikipedia.org/wiki/Ambala_language
23,Manide,"['Austronesian', 'Malayo-Polynesian', 'Philippine', '?', 'Manide–', 'Alabat', 'Manide']",Data not available,abd,cama1250,"3,800 (2010)[1]","Camarines Norte & Quezon, Luzon",Data not available,Data not available,https://en.wikipedia.org/wiki/Manide_language
24,Abai Sungai,"['Austronesian', 'Malayo-Polynesian', 'North Bornean', 'Southwest Sabahan', 'Paitanic', 'Abai Sungai']",Data not available,abf,abai1240,Data not available,Sabah,Data not available,Data not available,https://en.wikipedia.org/wiki/Sungai_language
25,Abaga,"['Trans–New Guinea', '\n? ', 'Kainantu–Goroka', 'Goroka', 'Kamono–Yagaria', 'Abaga']",Data not available,abg,abag1245,600 (2017)[1],Eastern Highlands Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Abaga_language
26,Central Asian Arabic,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Central Asian Arabic']","['Bakhtiari', 'Bukharian', 'Kashkadarian', 'Khorasani']",Either:titleabhtitle – Tajiki Arabictitleauztitle – Uzbeki Arabic,cent2410,"(16,000 cited 1992–2023)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Tajiki_Arabic
27,Abidji,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Abidji']","['Enyembe', 'Ogbru']",abi,abid1235,"85,000 (2017)[1]",Lagunes District,Data not available,Data not available,https://en.wikipedia.org/wiki/Abidji_language
28,Bea,"['Great Andamanese', '\nSouthern †', 'Bea']",Data not available,abj,akab1249,Data not available,"Andaman Islands; South Andaman island except northeast coast, and north and east interiors; Rutland island except south coast; small islands southeast of Rutland; Labyrinth Islands.",Data not available,Data not available,https://en.wikipedia.org/wiki/Aka-Bea_language
29,Abkhaz,"['Northwest Caucasian', 'Abazgi', 'Abkhaz']","['Abzhywan', 'Bzyp', 'Sadz']",abktitle  Abkhazian,abkh1244title  Abkhaz,"190,000 (2015–2019)[1]",Georgia,Republic of Abkhazia[a],Georgia,https://en.wikipedia.org/wiki/Abkhaz_language
30,Abanyom,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Ekoid', 'Efutop–Ekajuk', 'Abanyom']",Data not available,abm,aban1242,"(13,000 cited 1986)[1]",Cross River State,Data not available,Data not available,https://en.wikipedia.org/wiki/Abanyom_language
31,Abua,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Cross River', 'Central Delta', 'Abua–Odual', 'Abua']",Data not available,abn,abua1244,"(25,000 cited 1989)[1]",Rivers State,Data not available,Data not available,https://en.wikipedia.org/wiki/Abua_language
32,Abon,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Tivoid', 'North', 'Abon']",Data not available,abo,abon1238,"(1,000 cited 1973)[1]",Taraba State,Data not available,Data not available,https://en.wikipedia.org/wiki/Abon_language
33,Abellen,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Central Luzon', 'Sambalic', 'Abellen']",Data not available,abp,aben1249,"3,000 (2008)[2]",Tarlac,Data not available,Data not available,https://en.wikipedia.org/wiki/Abellen_language
34,Abaza,"['Northwest Caucasian', 'Abazgi', 'Abaza']",Data not available,abq,abaz1241,"49,800 (2010–2014)[1]",Karachay-Cherkessia, Russia Karachay-Cherkessia,Data not available,https://en.wikipedia.org/wiki/Abaza_language
35,Abron,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Potou–Tano', 'Tano', 'Central Tano (Akan)', 'Akan', 'Twi', 'Abron']",Data not available,abr,abro1238,1.4 million (2013)[1],Data not available,Ghana,Data not available,https://en.wikipedia.org/wiki/Bono_dialect
36,Ambonese Malay,"['Malay Creole', '\nEast Indonesian', 'Ambonese Malay']","['Ambon Malay', 'Dobo Malay', 'Melayu Sini (', 'Dutch Ambonese Malay', ')']",abs,ambo1250,"(250,000 cited 1987)[1]1.4 million L2 speakers",Maluku Islands,Data not available,Data not available,https://en.wikipedia.org/wiki/Ambonese_Malay
37,Abelam,"['Sepik', 'Middle Sepik', 'Ndu', 'Abelam']",Data not available,abt,ambu1247,"33,000 (2004)[1]",Sepik River basin,Data not available,Data not available,https://en.wikipedia.org/wiki/Abelam_language
38,Abure,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Potou–Tano', 'Tano', 'West', 'Abure']",Data not available,abu,abur1243,"93,000 (2017)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Abure_language
39,Bahrani Arabic,"['Afro-Asiatic', 'Semitic', 'Central Semitic', 'Arabic', 'Peninsular', 'Bahrani Arabic']",['Qatifi'],abv,baha1259,"730,000 (2019)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bahrani_Arabic
40,Pal,"['Trans–New Guinea', '?\n', 'Madang', 'Croisilles', 'Omosan', 'Pal']",Data not available,abw,pall1244,"1,200 (2000 census)[1]","Madang Province, Papua New Guinea",Data not available,Data not available,https://en.wikipedia.org/wiki/Pal_language
