,name,glottocode,iso6393,aes_status,Degree of endangerment,family,family_id,dialects,child_dialect_count,child_family_count,child_language_count,speakers,Number of speakers,regions,macroarea,latitude,longitude,level,type,scope,bookkeeping,description,markup_description,country_ids,parent_id,off_lang,rec_min_lang,Wikipedia_Url
0,Ghotuo,ghot1243,aaa,not endangered,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Volta–Niger</li><ul><li>yeai</li><ul><li>Edoid</li><ul><li>North-Central</li><ul><li>Yekhee</li><ul><li>Ghotuo</li></ul></ul></ul></ul></ul></ul></ul></ul>,atla1278,Data not available,0.0,0.0,0.0,"(9,000 cited 1994)[1]",Data not available,Edo State,Africa,7.11551,5.95663,language,living,individual,False,Data not available,Data not available,NG,afen1234,Data not available,Data not available,https://en.wikipedia.org/wiki/Ghotuo_language
1,Alumu-Tesu,alum1246,aab,not endangered,Data not available,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li>Benue–Congo</li><ul><li>Plateau</li><ul><li>Alumic</li><ul><li>Alumu-Toro</li><ul><li>Alumu-Akpondu</li><ul><li>Alumu-Tesu</li></ul></ul></ul></ul></ul></ul></ul></ul>,Data not available,"Alumu, Tesu",Data not available,Data not available,Data not available,"(7,000 cited 1999)[1]",Data not available,Nassarawa State,Data not available,Data not available,Data not available,Data not available,living,individual,Data not available,Data not available,Data not available,nan,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Alumu_language
2,Ari,arii1243,aac,moribund,Severely endangered,<ul><li>Papuan Gulf</li><ul><li>\xa0</li><ul><li>Gogodala–Suki</li><ul><li>Gogodala</li><ul><li>Ari</li></ul></ul></ul></ul></ul>,suki1244,Data not available,0.0,0.0,0.0,50 (2000)[1],80.0,"Ari and Serea villages, Aramia River area, Western Province.",Papunesia,-7.95526,142.4,language,living,individual,False,Data not available,Data not available,PG,ariw1234,Data not available,Data not available,https://en.wikipedia.org/wiki/Ari_language_(New_Guinea)
3,Amal,amal1242,aad,shifting,Data not available,<ul><li>Sepik</li><ul><li>Upper Sepik</li><ul><li>Amal–Kalou</li><ul><li>Amal</li></ul></ul></ul></ul>,sepi1257,Data not available,0.0,0.0,0.0,830 (2003)[1],Data not available,Sandaun Province and East Sepik Province,Papunesia,-4.04517,141.995,language,living,individual,False,Data not available,Data not available,PG,sepi1257,Data not available,Data not available,https://en.wikipedia.org/wiki/Amal_language
4,Arbëreshë Albanian,arbe1236,aae,threatened,Data not available,<ul><li>Indo-European</li><ul><li>Albanian</li><ul><li>Tosk</li><ul><li>Southern</li><ul><li>Arbëresh</li></ul></ul></ul></ul></ul>,indo1319,"Vaccarizzo Albanian, Palermitan Albanian, Calabrian Albanian",4.0,0.0,0.0,"70,000-100,000[1]",Data not available,"Abruzzo, Apulia, Basilicata, Calabria, Campania, Molise, Sicily",Eurasia,38.911,16.7164,language,living,individual,False,Data not available,Data not available,IT,sout3378,Data not available,Data not available,https://en.wikipedia.org/wiki/Arb%C3%ABresh_language
5,Aranadan,aran1261,aaf,shifting,Data not available,<ul><li>Dravidian</li><ul><li>Southern</li><ul><li>Tamil–Kannada</li><ul><li>Tamil–Kodagu</li><ul><li>Tamil–Malayalam</li><ul><li>Malayalam languages</li><ul><li>Eranadan language</li></ul></ul></ul></ul></ul></ul></ul>,drav1251,Data not available,0.0,0.0,0.0,200 in more accessible areas (2001 census)[1],Data not available,Malappuram District,Eurasia,11.35252,75.79538,language,living,individual,False,Data not available,Data not available,IN,mala1541,Data not available,Data not available,https://en.wikipedia.org/wiki/Eranadan_language
6,Ambrak,ambr1239,aag,threatened,Data not available,<ul><li>Torricelli</li><ul><li>Palei</li><ul><li>Aiku</li><ul><li>Ambrak</li></ul></ul></ul></ul>,nucl1708,Data not available,0.0,0.0,0.0,290 (2000 census)[1],Data not available,"Nuku District, Sandaun Province",Papunesia,-3.61,142.56,language,living,individual,False,Data not available,Data not available,PG,yang1294,Data not available,Data not available,https://en.wikipedia.org/wiki/Ambrak_language
7,Abu' Arapesh,abua1245,aah,shifting,Data not available,"<ul><li>Torricelli</li><ul><li>Arapesh'</li><ul><li>""Abu'""]</li></ul></ul></ul>",nucl1708,Data not available,0.0,0.0,0.0,"2,600 (2000 census)[1]",Data not available,"East Sepik Province: Albiges/Mablep Rural LLG, ward 8; Sandaun Province: East Aitape Rural LLG, wards 23, 24, 25",Papunesia,-3.461612,142.917031,language,living,individual,False,Data not available,Data not available,PG,buki1250,Data not available,Data not available,https://en.wikipedia.org/wiki/Abu%CA%BC_Arapesh_language
8,Arifama-Miniafia,arif1239,aai,shifting,Data not available,<ul><li>Austronesian</li><ul><li>Malayo-Polynesian</li><ul><li>Oceanic</li><ul><li>Western</li><ul><li>Papuan Tip</li><ul><li>Kilivila – </li><ul><li>Nuclear Papuan Tip</li><ul><li>Are–Taupota</li><ul><li>Are</li><ul><li>Arifama</li></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul>,aust1307,Data not available,2.0,0.0,0.0,"3,500 (2000)[1]",Data not available,Oro Province,Papunesia,-9.15565,149.246,language,living,individual,False,Data not available,Data not available,PG,arei1235,Data not available,Data not available,https://en.wikipedia.org/wiki/Arifama-Miniafia_language
9,Ankave,anka1246,aak,not endangered,Data not available,<ul><li>Trans–New Guinea</li><ul><li>Angan</li><ul><li>Southwest</li><ul><li>Ankave</li></ul></ul></ul></ul>,anga1289,Data not available,6.0,0.0,0.0,"1,500 (2014)[1]",Data not available,"Kerema District, Gulf Province, Papua New Guinea",Papunesia,-7.19444,145.754,language,living,individual,False,Data not available,Data not available,PG,sout3130,Data not available,Data not available,https://en.wikipedia.org/wiki/Ankave_language
