glottocode,name,isocodes,level,macroarea,latitude,longitude,name_normalized,Name in English,Number of speakers,Degree of endangerment
aasa1238,Aasax,aas,language,Africa,-4.00679,36.8648,aasax,Aasax,0,Extinct
abag1245,Abaga,abg,language,Papunesia,-6.12028,145.665,abaga,Abaga,5,Critically endangered
abai1240,Abai Sungai,abf,language,Papunesia,5.55394,118.306,abai sungai,Abai Sungai,400,Definitely endangered
abaz1241,Abaza,abq,language,Eurasia,44.25,42.0,abaza,Abaza,31000,Definitely endangered
abkh1244,Abkhaz,abk,language,Eurasia,43.056218,41.159115,abkhaz,Abkhaz,125000,Vulnerable
acha1250,Achagua,aca,language,South America,4.38649,-72.2005,achagua,Achagua,283,Severely endangered
ache1245,Acheron,acz,language,Africa,10.8827,30.3187,acheron,Acheron,70000,Severely endangered
achu1249,Achuar,,dialect,South America,,,achuar,Achuar,2500,Definitely endangered
achu1247,Achumawi,acv,language,North America,41.0979,-121.191,achumawi,Achumawi,10,Critically endangered
adab1235,Adabe,adb,language,Papunesia,-8.22674,125.576,adabe,Adabe,1000,Vulnerable
adny1235,Adnyamathanha,adt,language,Australia,-30.1451,138.671,adnyamathanha,Adnyamathanha,100,Definitely endangered
afit1238,Afitti,aft,language,Africa,12.446,30.7611,afitti,Afitti,4512,Severely endangered
ahom1240,Ahom,aho,language,Eurasia,27.2778,88.464,ahom,Ahom,0,Extinct
aimo1244,Aimol,aim,language,Eurasia,24.6437,94.3556,aimol,Aimol,2643,Critically endangered
ainb1238,Ainbai,aic,language,Papunesia,-3.09214,141.149,ainbai,Ainbai,100,Severely endangered
aito1238,Aiton,aio,language,Eurasia,26.5145,92.3169,aiton,Aiton,2000,Severely endangered
akkk1240,Ak,akq,language,Papunesia,-3.57026,141.784,ak,Ak,83,Severely endangered
akaa1242,Aka,soh,language,Africa,11.2101,33.6524,aka,Aka,4000,Definitely endangered
akaa1242,Aka,soh,language,Africa,11.2101,33.6524,aka,Aka,300,Critically endangered
akeu1235,Akeu,aeu,language,Eurasia,22.1959,101.0823,akeu,Akeu,5000,Definitely endangered
akka1237,Akkala Saami,sia,language,Eurasia,67.8625,32.4046,akkala saami,Akkala Saami,0,Extinct
akum1238,Akum,aku,language,Africa,6.85716,9.96261,akum,Akum,600,Critically endangered
akun1241,Akuntsu,aqz,language,South America,-12.8322,-60.9716,akuntsu,Akuntsu,6,Critically endangered
alab1237,Alabama,akz,language,North America,30.76738,-94.62848,alabama,Alabama,275,Definitely endangered
alab1246,Alabat Island Agta,dul,language,Papunesia,14.1217,122.014,alabat island agta,Alabat Island Agta,30,Critically endangered
alab1256,Alabugat Tatar,,dialect,Eurasia,43.59,46.66,alabugat tatar,Alabugat Tatar,422,Definitely endangered
alaw1244,Alawa,alh,language,Australia,-15.5458,134.282,alawa,Alawa,22,Critically endangered
alun1238,Alune,alp,language,Papunesia,-3.11477,128.394,alune,Alune,12000,Vulnerable
aluo1235,Aluo,yna,language,Eurasia,26.0,102.0,aluo,Aluo,20000,Definitely endangered
alut1245,Alutor,alr,language,Eurasia,60.3844,165.653,alutor,Alutor,1000,Severely endangered
amah1245,Amahai,amq,language,Papunesia,-3.32028,128.939,amahai,Amahai,30,Critically endangered
amah1246,Amahuaca,amc,language,South America,-10.2012,-72.3208,amahuaca,Amahuaca,500,Severely endangered
aman1266,Amanayé,ama,language,South America,-3.79772,-48.6613,amanayé,Amanayé,0,Extinct
ambl1237,Amblong,alm,language,Papunesia,-15.5169,166.95,amblong,Amblong,150,Definitely endangered
amis1246,Amis,ami,language,Papunesia,23.0917,121.348,amis,Amis,30000,Vulnerable
anal1239,Anal,anm,language,Eurasia,24.0506,94.2806,anal,Anal,23000,Vulnerable
anam1249,Anambé,aan,language,South America,-2.71119,-49.303,anambé,Anambé,6,Critically endangered
andi1255,Andi,ani,language,Eurasia,42.8078,46.2919,andi,Andi,23729,Definitely endangered
andi1257,Andio,bzb,language,Papunesia,-0.88368,123.174,andio,Andio,1700,Vulnerable
ando1257,Andoke,,dialect,South America,,,andoke,Andoke,597,Severely endangered
andr1246,Andro,,language,Eurasia,24.754303,94.033796,andro,Andro,0,Extinct
anfi1235,Anfillo,myo,language,Africa,8.568,34.647,anfillo,Anfillo,500,Critically endangered
angi1238,Angika,anp,language,Eurasia,26.0047,85.534,angika,Angika,740892,Vulnerable
anim1239,Animere,anf,language,Africa,7.60385,0.41962,animere,Animere,700,Critically endangered
anin1240,Anindilyakwa,aoi,language,Australia,-13.99904,136.6415,anindilyakwa,Anindilyakwa,2000,Vulnerable
anuk1239,Anuki,aui,language,Papunesia,-9.6692,149.822,anuki,Anuki,542,Definitely endangered
aore1237,Aore,aor,language,Papunesia,-15.5753,167.166,aore,Aore,0,Extinct
apat1240,Apatani,apt,language,Eurasia,27.1933,93.7284,apatani,Apatani,35000,Vulnerable
apia1248,Apiaká,api,language,South America,-7.84711,-57.91,apiaká,Apiaká,1,Critically endangered
apol1242,Apolista,,language,South America,-14.83,-68.66,apolista,Apolista,0,Extinct
apur1254,Apurinã,apu,language,South America,-8.21692,-66.7714,apurinã,Apurinã,2000,Definitely endangered
aput1237,Aputai,apx,language,Papunesia,-7.84732,126.496,aputai,Aputai,120,Critically endangered
arab1267,Arabana,ard,language,Australia,-28.705,135.449,arabana,Arabana,6,Critically endangered
arab1268,Arabela,arl,language,South America,-1.96126,-75.0612,arabela,Arabela,50,Severely endangered
arag1245,Aragonese,arg,language,Eurasia,42.4669,-0.00919,aragonese,Aragonese,10000,Definitely endangered
