,glottocode,name,isocodes,level,macroarea,latitude,longitude,name_normalized,Name in English,Number of speakers,Degree of endangerment,lang,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang,url
0,aasa1238,Aasax,aas,language,Africa,-4.00679,36.8648,aasax,Aasax,0,Extinct,Asa,"Afro-Asiatic
	Cushitic
		Rift
			
				East Rift
					Asa
						
	","Afro-Asiatic, Cushitic, Rift, , East Rift, Asa",aas,Uknown,Tanzania,Unknown,Unknown,https://en.wikipedia.org/wiki/Asa_language
1,aasa1238,Aasax,aas,language,Africa,-4.00679,36.8648,aasax,Aasax,0,Extinct,Asa,"['Afro-Asiatic'
	'Cushitic'
		'Rift'
			'?'
				'East Rift'
					'Asa']
						
	",,aas,,Tanzania,,,https://en.wikipedia.org/wiki/Aas%C3%A1x
2,abai1240,Abai Sungai,abf,language,Papunesia,5.55394,118.306,abai sungai,Abai Sungai,400,Definitely endangered,Abai Sungai,"Austronesian
	Malayo-Polynesian
		North Bornean
			Southwest Sabahan
				Paitanic
					Abai Sungai
						
	","Austronesian, Malayo-Polynesian, North Bornean, Southwest Sabahan, Paitanic, Abai Sungai",abf,Uknown,Sabah,Unknown,Unknown,https://en.wikipedia.org/wiki/Sungai_language
3,abaz1241,Abaza,abq,language,Eurasia,44.25,42.0,abaza,Abaza,31000,Definitely endangered,Abaza,"Northwest Caucasian
	Abazgi
		Abaza
			
	","Northwest Caucasian, Abazgi, Abaza",abq,"49,800 ",Karachay-Cherkessia, Russia Karachay-Cherkessia,Unknown,https://en.wikipedia.org/wiki/Abaza_language
4,abaz1241,Abaza,abq,language,Eurasia,44.25,42.0,abaza,Abaza,31000,Definitely endangered,Abaza,"['Northwest Caucasian'
	'Abazgi'
		'Abaza']
			
	",,abq,"49,800 (2010–2014)[1]",Karachay-Cherkessia, Russia Karachay-Cherkessia,,https://en.wikipedia.org/wiki/Abaza_language
5,achu1247,Achumawi,acv,language,North America,41.0979,-121.191,achumawi,Achumawi,10,Critically endangered,Achumawi,"['Hokan'
	'\xa0?\n'
		'Shasta'
			'–Palaihnihan\xa0?'
				'Palaihnihan'
					'Achumawi']
						
	",,acv,,,,,https://en.wikipedia.org/wiki/Achumawi_language
6,ahom1240,Ahom,aho,language,Eurasia,27.2778,88.464,ahom,Ahom,0,Extinct,Ahom,"Kra–Dai
	Tai
		Southwestern
			 (Thai)
				Northwestern
					Ahom
						
	","Kra–Dai, Tai, Southwestern,  (Thai), Northwestern, Ahom",aho,Uknown,Assam,Unknown,Unknown,https://en.wikipedia.org/wiki/Ahom_language
7,ainb1238,Ainbai,aic,language,Papunesia,-3.09214,141.149,ainbai,Ainbai,100,Severely endangered,Ainbai,"Border
	\nBewani Range
		Poal River
			Ainbai
				
	","Border, \nBewani Range, Poal River, Ainbai",aic,100 ,Sandaun Province,Unknown,Unknown,https://en.wikipedia.org/wiki/Ainbai_language
8,akka1237,Akkala Saami,sia,language,Eurasia,67.8625,32.4046,akkala saami,Akkala Saami,0,Extinct,Akkala Sámi,"Uralic
	Sámi
		Eastern
			Mainland
				Akkala Sámi
					
	","Uralic, Sámi, Eastern, Mainland, Akkala Sámi",sia,Uknown,Southwest Kola Peninsula,Unknown,Unknown,https://en.wikipedia.org/wiki/Akkala_S%C3%A1mi
9,akka1237,Akkala Saami,sia,language,Eurasia,67.8625,32.4046,akkala saami,Akkala Saami,0,Extinct,Akkala Sámi,"['Uralic'
	'Sámi'
		'Eastern'
			'Mainland'
				'Akkala Sámi']
					
	",,sia,,Southwest Kola Peninsula,,,https://en.wikipedia.org/wiki/Akkala_S%C3%A1mi
