,lang,family,dialects,iso3code,goglottocodettolog,speakers,regions,off_lang,rec_min_lang,url
0,Singapore,,,,,,,,,https://en.wikipedia.org/wiki/Singapore
1,Pridnestrovian_Moldavian_Republic,,,,,,,,,https://en.wikipedia.org/wiki/Pridnestrovian_Moldavian_Republic
2,Amazonas_(Brazilian_state),,,,,,,,,https://en.wikipedia.org/wiki/Amazonas_(Brazilian_state)
3,Lebanon,,,,,,,,,https://en.wikipedia.org/wiki/Lebanon
4,States_of_Myanmar,,,,,,,,,https://en.wikipedia.org/wiki/States_of_Myanmar
5,Istria_County,,,,,,,,,https://en.wikipedia.org/wiki/Istria_County
6,Kabyle,"['Afro-Asiatic', 'Berber', 'Northern', 'Kabyle']",,kab,kaby1243,"3 million in Algeria (2004, 9.4% of the population)[1][a]1 million diaspora[2]","Kabylia (Provinces of Béjaïa, Bouira, Boumerdes, Tizi Ouzou)",,,https://en.wikipedia.org/wiki/Kabyle_language
7,Illinois_Confederation,,,,,,,,,https://en.wikipedia.org/wiki/Illinois_Confederation
8,Autonomous_Region_of_Bougainville,,,,,,,,,https://en.wikipedia.org/wiki/Autonomous_Region_of_Bougainville
9,Osmanya_alphabet,,,,,,,,,https://en.wikipedia.org/wiki/Osmanya_alphabet
10,Min_Nan,,,,minn1241,,,,,https://en.wikipedia.org/wiki/Min_Nan
11,Dargwa,"['Northeast Caucasian', 'Dargin', 'Dargwa']",,dartitle  (also titleDargin languagestitle),darg1241titlesout3261,"490,000 (2010 census)[1]",Dagestan," Russia
 Dagestan
",,https://en.wikipedia.org/wiki/Dargwa_language
12,Madagascar,,,,,,,,,https://en.wikipedia.org/wiki/Madagascar
13,Khmer,"['Austroasiatic', 'Khmer']",,Either:titlekhmtitle – Khmertitlekxmtitle – titleNorthern Khmer,khme1253title  Khmerictitlecent1989title  Central Khmer,,, Cambodia, Thailand Vietnam,https://en.wikipedia.org/wiki/Khmer_language
14,Sasak,"['Austronesian', 'Malayo-Polynesian', 'Malayo-Sumbawan', '?', 'Bali–Sasak–Sumbawa', 'Sasak–', 'Sumbawa', 'Sasak']",,sas,sasa1249,2.7 million (2010)[1],Lombok,,"Indonesia
West Nusa Tenggara (Lombok)
",https://en.wikipedia.org/wiki/Sasak_language
15,Tamil,"['Dravidian', 'Southern', 'Tamil–Kannada', 'Tamil–Kodagu', 'Tamil–Malayalam', 'Tamil languages', 'Tamil']","['Eelam', 'Malesiyat', 'Bunagurr', 'Iyengar', 'Kongu', 'Chennai', 'Madurai', 'Tiruneveli', 'Sankethi', 'Estate', 'Central', 'Malabar', ' ', '†']",Either:titletamtitle – Modern Tamiltitleotytitle – Old Tamil,tami1289title  Modern Tamiltitleoldt1248title  Old Tamil,L1: 79 million (2011–2019)[1]L2: 8 million (2011)[1],"
Tamil Nadu and the enclaves of Puducherry and Karaikal
Sri Lanka
Northern Province
Eastern Province
","
India
Tamil Nadu[2]
Puducherry[3]
Sri Lanka[4]
Singapore[5]
","
South Africa[a][6]
Malaysia[7]
",https://en.wikipedia.org/wiki/Tamil_language
16,Occitan,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western Romance', 'Gallo-Iberian', 'Gallo-Romance', '[a]', 'Occitano-Romance', '[a]', 'Occitan']","['Auvergnat', 'Gascon', 'Languedocien', 'Limousin', 'Provençal', 'Vivaro-Alpine', 'Niçard', 'Judeo-Provençal', ' †', 'Judeo-Gascon', ' †', 'Judeo Niçard', ' †']",ocititle – inclusive codetitleIndividual code:titlesdttitle – titleJudeo-Occitan,occi1239,"(c. 200,000 cited 1990–2012)[1]Estimates range from 100,000 to 800,000 total speakers (2007–2012),[2][3] with 68,000 in Italy (2005 survey),[4] 4,000 in Spain (Val d'Aran)[5]",Occitania,"Spain
Catalonia (as Aranese)
","France
Auvergne-Rhône-Alpes
Centre-Val de Loire
Nouvelle-Aquitaine
Occitania
Provence-Alpes-Côte d'Azur
Italy (Occitan Valleys) (Law number 482 of 15 December 1999)[6]

Monaco",https://en.wikipedia.org/wiki/Occitan_language
17,Adele,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Kwa', 'Anii–Adere', 'Adele']",,ade,adel1244,"37,000 (2003–2012)[1]",Ghana and Togo,,,https://en.wikipedia.org/wiki/Adele_language
18,Inuinnaqtun,"['Eskaleut', 'Eskimo', 'Inuit', 'Inuvialuktun', 'Inuinnaqtun']",,"ikttitle  Inuinnaqtun, Western Canadian Inuktitut",copp1244,"1,310 (2016 census)[1]",,Nunavut[2]Northwest Territories[3],,https://en.wikipedia.org/wiki/Inuinnaqtun
19,Samtskhe-Javakheti,,,,,,,,,https://en.wikipedia.org/wiki/Samtskhe-Javakheti
20,Autonomous_prefectures_of_the_People%27s_Republic_of_China,,,,,,,,,https://en.wikipedia.org/wiki/Autonomous_prefectures_of_the_People%27s_Republic_of_China
21,Cocos_(Keeling)_Islands,,,,,,,,,https://en.wikipedia.org/wiki/Cocos_(Keeling)_Islands
22,Ayapa Zoque,"['Mixe-Zoquean', 'Zoquean', 'Gulf Zoquean', 'Ayapa Zoque']",,zoq,taba1264,70 (2020 census)[1],"Jalpa de Méndez, Tabasco",,,https://en.wikipedia.org/wiki/Ayapaneco
23,Irrawaddy_River,,,,,,,,,https://en.wikipedia.org/wiki/Irrawaddy_River
24,Livonian,"['Uralic', 'Finno-Ugric', 'Finno-Permic', '?', 'Finno-Samic', '?', 'Finnic', 'Southern Finnic', 'Livonian']","['Courland', 'Salaca', ' ', '†', '[5]']",liv,livv1244,,Livonian Coast,,Latvia[6],https://en.wikipedia.org/wiki/Livonian_language
25,Republic_of_China,,,,,,,,,https://en.wikipedia.org/wiki/Republic_of_China
26,Republic_of_Niger,,,,,,,,,https://en.wikipedia.org/wiki/Republic_of_Niger
27,Khanty-Mansi_Autonomous_Okrug,,,,,,,,,https://en.wikipedia.org/wiki/Khanty-Mansi_Autonomous_Okrug
28,Ilocano,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Northern Luzon', 'Ilocano']",,ilo,ilok1237,"6,370,000 (2005)[1]2 million L2 speakers (2000)[2] Third most spoken native language in the Philippines[3]","Northern Luzon, many parts of Central Luzon and a few parts of the Soccsksargen region in Mindanao",La Union[4], Philippines,https://en.wikipedia.org/wiki/Ilocano_language
29,Mediterranean_Sea,,,,,,,,,https://en.wikipedia.org/wiki/Mediterranean_Sea
30,Saraiki,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Northwestern', 'Saraiki']",,skr,sera1259,26 million (2017)[1],South Punjab and neighbouring regions,,,https://en.wikipedia.org/wiki/Saraiki_language
31,Uspantek,"['Mayan', '\nQuichean–Mamean', 'Greater Quichean', 'Uspantek']",,usp,uspa1245,"5,100 (2019 census)[1]",Quiché (department),,,https://en.wikipedia.org/wiki/Uspanteco
32,Suriname,,,,,,,,,https://en.wikipedia.org/wiki/Suriname
33,Polish,"['Indo-European', 'Balto-Slavic', 'Slavic', 'West Slavic', 'Lechitic', 'Polish']","['Chełmnian–Kocievian–Warmian', 'Greater Poland', 'Lesser Poland', 'Masovian', 'Masurian', 'New mixed dialects', 'Northern Borderlands', 'Silesian', '[a]', 'Southern Borderlands', 'Podhale', 'Warmian']",pol,poli1260,"L1: 40 million (2012)[1]L2: 670,000 (2012)[1]Total: 41 million[1]",,PolandEuropean Union,Bosnia and Herzegovina[2]Brazil[3]Czech Republic[2]Hungary[4]Lithuania[5][6]Romania[7]Slovakia[2]Ukraine[2][8],https://en.wikipedia.org/wiki/Polish_language
34,Maasai_people,,,,,,,,,https://en.wikipedia.org/wiki/Maasai_people
35,Ga,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Kwa', 'Ga–Dangme', 'Ga']",,gaa,gaaa1244,"745,000 (2016)[1]","South-eastern Ghana, around Accra",None. Government sponsored language.,,https://en.wikipedia.org/wiki/Ga_language
36,Dangbe,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Kwa', 'Ga-Dangme', 'Dangbe']",,ada,adan1247,"1,020,000 (2013)[1]","South-eastern Ghana, east of Accra",Ghana,,https://en.wikipedia.org/wiki/Adangbe
37,Batak,,,,,,,,,https://en.wikipedia.org/wiki/Batak
38,Slovene,"['Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Western South Slavic', 'Slovene']","['Prekmurje dialect', 'Resian', 'approx. ', '48 unstandardised dialects']",slvtitle  Slovenian,slov1268title  Slovenian,2.5 million (2010)[4],, Slovenia  European Union, Austria[5] Hungary[6] Italy[7],https://en.wikipedia.org/wiki/Slovene_language
39,Portugal,,,,,,,,,https://en.wikipedia.org/wiki/Portugal
40,Senegal,,,,,,,,,https://en.wikipedia.org/wiki/Senegal
41,Kyrgyz,"['Turkic', 'Common Turkic', 'Kipchak', 'Kyrgyz–Kipchak', 'Kyrgyz']",['Pamiri Kyrgyz'],kir,kirg1245,5.15 million (2009 census)[1],Central Asia," Kyrgyzstan
 China

Kizilsu Kyrgyz Autonomous Prefecture

Organisations:
 Organization of Turkic States Collective Security Treaty Organization
",,https://en.wikipedia.org/wiki/Kyrgyz_language
