Name in English,Number of speakers,Degree of endangerment,Wikipedia URL
South Italian,7500000,Vulnerable,https://en.wikipedia.org/wiki/Neapolitan_language
Sicilian,5000000,Vulnerable,https://en.wikipedia.org/wiki/Sicilian
Low Saxon,4800000,Vulnerable,https://en.wikipedia.org/wiki/Low_Saxon
Belarusian,4000000,Vulnerable,https://en.wikipedia.org/wiki/Belarusian
Lombard,3500000,Definitely endangered,https://en.wikipedia.org/wiki/Lombard
Romani,3500000,Definitely endangered,https://en.wikipedia.org/wiki/Romani
Yiddish (Israel),3000000,Definitely endangered,https://en.wikipedia.org/wiki/Yiddish
Gondi,2713790,Vulnerable,https://en.wikipedia.org/wiki/Gondi
Limburgian-Ripuarian,2600000,Vulnerable,https://en.wikipedia.org/wiki/Limburgish_language
Quechua of Southern Bolivia,2300000,Vulnerable,https://en.wikipedia.org/wiki/Southern_Quechua
Kumaoni,2003783,Vulnerable,https://en.wikipedia.org/wiki/Kumaoni
Aymara,2000000,Vulnerable,https://en.wikipedia.org/wiki/Aymara
Emilian-Romagnol,2000000,Definitely endangered,https://en.wikipedia.org/wiki/Emilian%E2%80%93Romagnol_linguistic_group
Piedmontese,2000000,Definitely endangered,https://en.wikipedia.org/wiki/Piedmontese_language
Venetan,2000000,Vulnerable,https://en.wikipedia.org/wiki/Venetian_language
Zazaki,2000000,Vulnerable,https://en.wikipedia.org/wiki/Zaza_language
Kurux (India),1751489,Vulnerable,https://en.wikipedia.org/wiki/Kurukh_language
Tamajeq,1750000,Vulnerable,https://en.wikipedia.org/wiki/Tamazheq_language
Tulu,1722768,Vulnerable,https://en.wikipedia.org/wiki/Tulu
Kangdi,1700000,Definitely endangered,https://en.wikipedia.org/wiki/Kanger
Scots,1500000,Vulnerable,https://en.wikipedia.org/wiki/Scots
Torlak,1500000,Vulnerable,https://en.wikipedia.org/wiki/Torlakian_dialects
West Flemish,1500000,Vulnerable,https://en.wikipedia.org/wiki/West_Flemish
Bashkir,1379727,Vulnerable,https://en.wikipedia.org/wiki/Bashkir
Chechen,1331844,Vulnerable,https://en.wikipedia.org/wiki/Chechen
Chuvash,1325382,Vulnerable,https://en.wikipedia.org/wiki/Chuvash
Meithei,1250000,Vulnerable,https://en.wikipedia.org/wiki/Meitei_language
Tamang,1196639,Vulnerable,https://en.wikipedia.org/wiki/Tamang
Quechua of Cuzco,1115000,Vulnerable,https://en.wikipedia.org/wiki/Cusco_Quechua
Eastern Slovak,1000000,Vulnerable,https://en.wikipedia.org/wiki/Slovak_language
Ligurian,1000000,Definitely endangered,https://en.wikipedia.org/wiki/Ligurian
Rusyn,1000000,Vulnerable,https://en.wikipedia.org/wiki/Rusyn
Talysh,1000000,Vulnerable,https://en.wikipedia.org/wiki/Talysh
Kui,916222,Vulnerable,https://en.wikipedia.org/wiki/Kui
Khasi,912000,Vulnerable,https://en.wikipedia.org/wiki/Khasi
Bodo,900000,Vulnerable,https://en.wikipedia.org/wiki/Bodo
Campidanese,900000,Definitely endangered,https://en.wikipedia.org/wiki/Campidanese_Sardinian
K'iche' (Guatemala),890596,Vulnerable,https://en.wikipedia.org/wiki/K%27iche%27_language
Quechua of Ayacucho,850000,Definitely endangered,https://en.wikipedia.org/wiki/Ayacucho_Quechua
Newar,825458,Definitely endangered,https://en.wikipedia.org/wiki/Newar_people
Mon,800000,Vulnerable,https://en.wikipedia.org/wiki/Mon
Polesian,800000,Vulnerable,https://en.wikipedia.org/wiki/Polesia
Tamaceq,800000,Definitely endangered,https://en.wikipedia.org/wiki/Tamasheq_language
Avar,784840,Vulnerable,https://en.wikipedia.org/wiki/Avar
Mundari,750000,Vulnerable,https://en.wikipedia.org/wiki/Mundari
Welsh,750000,Vulnerable,https://en.wikipedia.org/wiki/Welsh
Angika,740892,Vulnerable,https://en.wikipedia.org/wiki/Angika
Q'eqchi' (Guatemala),716101,Vulnerable,https://en.wikipedia.org/wiki/Q%27eqchi%27_language
Picard,700000,Severely endangered,https://en.wikipedia.org/wiki/Picard
Kokborok,695000,Vulnerable,https://en.wikipedia.org/wiki/Kokborok
Basque,660000,Vulnerable,https://en.wikipedia.org/wiki/Basque
Kabard-Cherkes,650000,Vulnerable,https://en.wikipedia.org/wiki/Kabardian_language
Mandeali,611930,Definitely endangered,https://en.wikipedia.org/wiki/Mandeali
Friulian,600000,Definitely endangered,https://en.wikipedia.org/wiki/Friulian_language
Quechua of Ancash and Huánuco,600000,Definitely endangered,https://en.wikipedia.org/wiki/Ancash_Quechua
Walloon,600000,Definitely endangered,https://en.wikipedia.org/wiki/Walloon
