lang,goglottocodettolog,url_x,Unnamed: 0,glottocode,url_y,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang
(Upper) Umpqua,,,252.0,uppe1436,https://en.wikipedia.org/wiki/Upper_Umpqua_language,"Dené–Yeniseian,Na-Dené, Athabaskan, Pacific Coast Athabaskan, (Upper) Umpqua","Dené–Yeniseian,Na-Dené, Athabaskan, Pacific Coast Athabaskan, (Upper) Umpqua",xup,Uknown,Oregon (Umpqua Valley),Unknown,Unknown
Abai Sungai,,,543.0,abai1240,https://en.wikipedia.org/wiki/Sungai_language,"Austronesian, Malayo-Polynesian, North Bornean, Southwest Sabahan, Paitanic, Abai Sungai","Austronesian, Malayo-Polynesian, North Bornean, Southwest Sabahan, Paitanic, Abai Sungai",abf,Uknown,Sabah,Unknown,Unknown
Abaza,,,1291.0,abaz1241,https://en.wikipedia.org/wiki/Abaza_language,"Northwest Caucasian, Abazgi, Abaza","Northwest Caucasian, Abazgi, Abaza",abq,"49,800 ",Karachay-Cherkessia, Russia Karachay-Cherkessia,Unknown
Abenaki#Eastern_Abenaki,,,220.0,,https://en.wikipedia.org/wiki/Abenaki#Eastern_Abenaki,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Abkhaz,,,512.0,abkh1244title  Abkhaz,https://en.wikipedia.org/wiki/Abkhaz_language,"Northwest Caucasian, Abazgi, Abkhaz","Northwest Caucasian, Abazgi, Abkhaz",abktitle  Abkhazian,"190,000 ",Georgia,Republic of Abkhaziaa,Georgia
Acazulco Otomi,,,482.0,,https://en.wikipedia.org/wiki/Acazulco_Otomi,"Oto-Manguean, Oto-Pamean, Otomian, Eastern, Acazulco Otomi","Oto-Manguean, Oto-Pamean, Otomian, Eastern, Acazulco Otomi",Nonetitle (titlemistitle),100-200 ,"Ocoyoacac, Mexico State",Unknown,Unknown
Achagua,,,821.0,acha1250title  Achaguatitlepona1251title  Ponares,https://en.wikipedia.org/wiki/Achagua_language,"Arawakan, Northern, Upper Amazon, Western Nawiki, Piapoko, Achagua","Arawakan, Northern, Upper Amazon, Western Nawiki, Piapoko, Achagua",acatitle  Achagua,250 ,,Unknown,Unknown
Achang,,,140.0,acha1252,https://en.wikipedia.org/wiki/Chintaw_language,"Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Burmish, Achang","Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Burmish, Achang",acn,Uknown,,Unknown,Unknown
Acheron,,,956.0,,https://en.wikipedia.org/wiki/Acheron,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Achi,,,848.0,achi1256,https://en.wikipedia.org/wiki/Achi_language,"Mayan, Quichean–Mamean, Greater Quichean, Quichean, Quiché–Achi, Achi","Mayan, Quichean–Mamean, Greater Quichean, Quichean, Quiché–Achi, Achi",acr,"120,000 ",Baja Verapaz,Unknown, Guatemala
Achomawi,,,1181.0,,https://en.wikipedia.org/wiki/Achomawi,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Achuar,,,137.0,achu1248,https://en.wikipedia.org/wiki/Shiwiar_language,"Chicham, Achuar","Chicham, Achuar",acu,"4,420 in Peru ",,Unknown,Unknown
Achuar,,,1215.0,,https://en.wikipedia.org/wiki/Achuar,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Adnyamathanha,,,993.0,,https://en.wikipedia.org/wiki/Adnyamathanha,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Adyghe,,,691.0,adyg1241,https://en.wikipedia.org/wiki/Adyghe_language,"Northwest Caucasian, Circassian, Adyghe","Northwest Caucasian, Circassian, Adyghe",ady,"610,000 ",," Russia
 Adygea
"," Jordan Syria Israel
Kfar Kama
Rehaniya
 Autonomous Administration of North and East Syria"
Afitti_people,,,307.0,,https://en.wikipedia.org/wiki/Afitti_people,Uknown,Uknown,Not provided,Uknown,,Unknown,Unknown
Aghul,,,971.0,aghu1260title  Aghulictitleaghu1253,https://en.wikipedia.org/wiki/Aghul_language,"Northeast Caucasian, Lezgic, Samur, Eastern Samur, Lezgi, –Aghul–, Tabasaran, Aghul","Northeast Caucasian, Lezgic, Samur, Eastern Samur, Lezgi, –Aghul–, Tabasaran, Aghul",agx,"29,300 ",Southeastern Dagestan, Russia Dagestan,Unknown
Ahom,,,146.0,ahom1240,https://en.wikipedia.org/wiki/Ahom_language,"Kra–Dai, Tai, Southwestern,  (Thai), Northwestern, Ahom","Kra–Dai, Tai, Southwestern,  (Thai), Northwestern, Ahom",aho,Uknown,Assam,Unknown,Unknown
Ahtna,,,1699.0,ahte1237,https://en.wikipedia.org/wiki/Ahtna_language,"Dené–Yeniseian,Na-Dené, Athabaskan, Northern Athabaskan, Ahtna","Dené–Yeniseian,Na-Dené, Athabaskan, Northern Athabaskan, Ahtna",aht,15 ,Alaska (Copper River region), Alaska,Unknown
