,lang,family,dialects,iso3code,goglottocodettolog,speakers,regions,off_lang,rec_min_lang,url
0,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta–Niger', 'yeai', 'Edoid', 'North-Central', 'Yekhee', 'Ghotuo']",,aaa,ghot1243,"(9,000 cited 1994)[1]",Edo State,,,https://en.wikipedia.org/wiki/Ghotuo_language
1,Par%C3%A1_Ar%C3%A1ra_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Plateau', 'Alumic', 'Alumu-Toro', 'Alumu-Akpondu', 'Alumu-Tesu']","['Alumu', 'Tesu']",aab,alum1246,"(7,000 cited 1999)[1]",Nassarawa State,,,https://en.wikipedia.org/wiki/Alumu_language
2,Par%C3%A1_Ar%C3%A1ra_language,"['Papuan Gulf', '\xa0?\n', 'Gogodala–Suki', 'Gogodala', 'Ari']",,aac,arii1243,50 (2000)[1],"Ari and Serea villages, Aramia River area, Western Province.",,,https://en.wikipedia.org/wiki/Ari_language_(New_Guinea)
3,Par%C3%A1_Ar%C3%A1ra_language,"['Sepik', 'Upper Sepik', 'Amal–Kalou', 'Amal']",,aad,amal1242,830 (2003)[1],Sandaun Province and East Sepik Province,,,https://en.wikipedia.org/wiki/Amal_language
4,Par%C3%A1_Ar%C3%A1ra_language,"['Indo-European', 'Albanian', 'Tosk', 'Arbëresh']","['Vaccarizzo Albanian', 'Palermitan Albanian\n', '\nCalabrian Albanian']",aae,arbe1236,"70,000-100,000[1]","Abruzzo, Apulia, Basilicata, Calabria, Campania, Molise, Sicily",,,https://en.wikipedia.org/wiki/Arb%C3%ABresh_language
5,Par%C3%A1_Ar%C3%A1ra_language,"['Dravidian', 'Southern', 'Tamil–Kannada', 'Tamil–Kodagu', 'Tamil–Malayalam', 'Malayalam languages', 'Eranadan language']",,aaf,aran1261,200 in more accessible areas (2001 census)[1],Malappuram District,,,https://en.wikipedia.org/wiki/Eranadan_language
6,Par%C3%A1_Ar%C3%A1ra_language,"['Torricelli', 'Palei', 'Aiku', 'Ambrak']",,aag,ambr1239,290 (2000 census)[1],"Nuku District, Sandaun Province",,,https://en.wikipedia.org/wiki/Ambrak_language
7,Par%C3%A1_Ar%C3%A1ra_language,"['Torricelli', 'Arapesh', ""Abu'""]",,aah,abua1245,"2,600 (2000 census)[1]","East Sepik Province: Albiges/Mablep Rural LLG, ward 8; Sandaun Province: East Aitape Rural LLG, wards 23, 24, 25",,,https://en.wikipedia.org/wiki/Abu%CA%BC_Arapesh_language
8,Par%C3%A1_Ar%C3%A1ra_language,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western', 'Papuan Tip', 'Kilivila – ', 'Nuclear Papuan Tip', 'Are–Taupota', 'Are', 'Arifama']",,aai,arif1239,"3,500 (2000)[1]",Oro Province,,,https://en.wikipedia.org/wiki/Arifama-Miniafia_language
9,Par%C3%A1_Ar%C3%A1ra_language,"['Trans–New Guinea', 'Angan', 'Southwest', 'Ankave']",,aak,anka1246,"1,500 (2014)[1]","Kerema District, Gulf Province, Papua New Guinea",,,https://en.wikipedia.org/wiki/Ankave_language
10,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Kotoko', ' (B.1)', 'North', 'Afade']",,aal,afad1236,"5,000 in Cameroon (2004)[1]unknown number in Nigeria","Far North Province, Cameroon; Borno State, Nigeria",,,https://en.wikipedia.org/wiki/Afade_language
11,Par%C3%A1_Ar%C3%A1ra_language,"['Tupian', 'Tupi–Guaraní', 'Xingu', 'Anambé']",,aan,anam1249,6 (2006)[1],"Pará, Cairari River",,,https://en.wikipedia.org/wiki/Anamb%C3%A9_language
12,Par%C3%A1_Ar%C3%A1ra_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Maghrebi Arabic', 'Algerian Saharan Arabic']",,aao,alge1240,"310,000 (2022)[1]","Atlas Mountains, southern Sahara",,,https://en.wikipedia.org/wiki/Algerian_Saharan_Arabic
13,Par%C3%A1_Ar%C3%A1ra_language,"['Cariban', 'Pekodian', 'Arara', 'Arára']",,aap,para1310,340 (2010)[1],Pará,,,https://en.wikipedia.org/wiki/Par%C3%A1_Ar%C3%A1ra_language
