,lang,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang
0,Durango,,,,,,,
1,Azoyu_Me%E2%80%99phaa_language,"['Oto-Manguean', 'Tlapanecan', 'Tlapanec']",,Variously:tcf – Malinaltepec (east)tpc – Azoyú (south)tpl – Tlacoapa (central)tpx – Acatepec (west),"150,000 (2020 census)[1]","Guerrero, Morelos",,
2,Mizoram,,,,,Northeast India,,
3,Herero_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Kavango – Southwest Bantu', 'Southwest Bantu', 'Herero (R.30)', 'Herero']","['Himba', 'Kuvale', 'Zemba', ' (Thimba, ', 'Otjizemba', ')', 'Hakawona', ' (', 'Otjihakawona', ')', 'Botswana Herero']",her  Herero,"250,000 (2015–2018)[1]","Kunene, Omaheke Region and Otjozondjupa Region in Namibia; Ghanzi in Botswana; Namibe, Huíla and Cunene in Angola",,
4,Azad_Kashmir,,,,,,,
5,Country_of_Cura%C3%A7ao,,,,,,,
6,Afade,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'Kotoko', ' (B.1)', 'North', 'Afade']",,aal,"5,000 in Cameroon (2004)[1]unknown number in Nigeria","Far North Province, Cameroon; Borno State, Nigeria",,
7,Chewa_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Bantu', 'Nyasa', 'Chewa']",,nya,7 million (2007)[1],Southeast Africa, Malawi,"
 Mozambique
 Zambia
"
8,Tunceli_Province,,,,,,,
9,Ilocano_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Northern Luzon', 'Ilocano']",,ilo,"6,370,000 (2005)[1]2 million L2 speakers (2000)[2] Third most spoken native language in the Philippines[3]","Northern Luzon, many parts of Central Luzon and a few parts of the Soccsksargen region in Mindanao",La Union[4], Philippines
10,Pirah%C3%A3_language,"['Mura', 'Pirahã']",,myp,250–380 (2009)[1],Maici River,,
11,Thailand,,,,,,,
12,Asturian_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western', 'Iberian Romance', 'West Iberian', 'Asturleonese', 'Asturian']",['Western Asturian'],ast,Around 1/3 of Asturians[1] (2000)62% of Asturians[2] (2017),Asturias,,Asturias[3]  (Spain)
13,East_Nusa_Tenggara,,,,,,,
14,Tonga,,,,,,,
15,Avar_language,"['Northeast Caucasian', 'Avar–Andic', 'Avar']",,Either:ava – Avaricoav – Old Avar,"1,200,000 (2021)[1]",," Russia
 Dagestan
",
16,Shan_people,,,,,,,
17,Mindanao,,,,,,,
18,Buryat_language,"['Mongolic', '\nCentral Mongolic', 'Buryat–', 'Mongolian', 'Buryat']",,bua – inclusive code BuriatIndividual codes:bxu – Inner Mongolian (China) Buriatbxm – Mongolia Buriatbxr – Russia Buriat,"440,000 (2017–2020)[1]",,Buryatia (Russia),
19,Lithuanian_language,"['Indo-European', 'Balto-Slavic', 'Baltic', 'East Baltic', 'Lithuanian']","['Samogitian', ', ', 'Aukštaitian']",Either:lit – Modern Lithuanianolt – Old Lithuanian,3.0 million (2012)[1],Baltic, Lithuania European Union, Poland
20,United_Mexican_States,,,,,,,
21,Adnyamathanha_language,"['Pama–Nyungan', 'Thura-Yura', 'Yura', 'Adnyamathanha; Kuyani']",,Either:adt – Adnyamathanhagvy – Guyani,262 (2021 census)[1],South Australia,,
